policy,fold,variant,cagr,max_drawdown,calmar,sharpe,total_return,turnover,cost_drag,max_realized_exposure,without_best_day_cagr,without_top_three_trades_cagr,asset_log_growth_share,trade_log_growth_share,net_log_growth,trade_log_growth_sum,log_reconciliation_error,trade_log_reconciliation_error,bankrupt,days,closed_episodes
aggressive_1.5__calmar,2025,m126_own200_v20_cat4,0.11978434878440036,0.1354609694140877,0.8842720475315232,0.7202676014778955,0.11969763889217,18.473687577462464,0.05707471357508985,0.7831380562684663,0.06593686088046935,-0.09020055266350513,0.9788135930391705,0.9759662577357171,0.11305868358497055,0.11305868358496603,4.454769886308441e-15,4.524158825347513e-15,False,365,19
aggressive_1.5__calmar,2026,m126_own200_v20_cat3,0.10979838231268002,0.10248934346250416,1.0713151104617027,0.9539972017446565,0.07943769055375882,11.859554903577678,0.06012256845923352,0.5144382382046392,0.05547294001753578,0.023450036998003743,0.3173654835854239,0.27260034635005953,0.07644024865259409,0.0764402486525921,2.0261570199409107e-15,1.9984014443252818e-15,False,268,10
aggressive_1.5__defensive,2021,m21_own200_v20_combo50,0.22760897839563765,0.16142597217280508,1.40998982587501,1.394562873639038,0.2274366812771471,19.39311354417537,0.03826846217143167,0.3276020730281743,0.17232180084670135,-0.0058355934995192316,0.494241835738172,0.5923909899238352,0.204927995875127,0.20492799587512692,1.6653345369377348e-16,8.326672684688674e-17,False,365,66
aggressive_1.5__defensive,2022,m63_market200_v20_tp50,-0.033327912207327115,0.07955632089032094,-0.41892224067618855,-0.7849435105182171,-0.033305484662702556,2.843023839825511,0.0050322677420591615,0.3580344836786484,-0.047642460616836524,-0.04823157059365679,1000000.0,1000000.0,-0.03387274312103368,-0.03387274312103396,2.7755575615628914e-16,2.7755575615628914e-16,False,365,5
aggressive_1.5__defensive,2023,m21_market200_v20_combo50,-0.13043395288514514,0.2861480414299793,-0.45582682388221923,-0.7816797648498267,-0.13035076518962918,41.98935801534324,0.08315811181917263,0.8440869662461699,-0.1673664355681893,-0.2539371397707404,1000000.0,1000000.0,-0.1396653270106475,-0.1396653270106497,2.3037127760972e-15,2.220446049250313e-15,False,365,67
aggressive_1.5__defensive,2024,m126_own200_v20_combo50,0.11685692012194004,0.14257707331662017,0.8196052661456761,0.7914563336898669,0.11711040527141003,20.85333957732249,0.05859436888114183,1.0627599516120618,0.08010238284296922,-0.08523748679196685,0.647037387899678,0.7782834130156742,0.11074535609018887,0.11074535609019252,3.635980405647388e-15,3.649858193455202e-15,False,366,30
aggressive_1.5__defensive,2025,m126_own200_v20_combo25,-0.021888782832572784,0.16282523035752594,-0.13443114918069,-0.041179043119672645,-0.021873965844128707,22.2254644479627,0.05781566700092468,0.7831380562684666,-0.0836609764959294,-0.17330582126992733,1000000.0,1000000.0,-0.022116747970220466,-0.022116747970220757,2.7755575615628914e-16,2.914335439641036e-16,False,365,25
aggressive_1.5__defensive,2026,m126_own200_v20_cat3,0.10979838231268002,0.10248934346250416,1.0713151104617027,0.9539972017446565,0.07943769055375882,11.859554903577678,0.06012256845923352,0.5144382382046392,0.05547294001753578,0.023450036998003743,0.3173654835854239,0.27260034635005953,0.07644024865259409,0.0764402486525921,2.0261570199409107e-15,1.9984014443252818e-15,False,268,10
aggressive_2__growth,2021,m21_own200_v60_cat5,0.6299982485771116,0.41122904498633306,1.5319886964648843,1.1670194198364847,0.6294532453799457,54.610594742469424,0.11467416145281316,0.9460554660440914,0.3218030616031302,-0.1032568971511032,0.6946301380268612,0.8466485051134641,0.48824452626643833,0.4882445262664386,3.885780586188048e-16,2.7755575615628914e-16,False,365,63
aggressive_2__growth,2022,m126_market200_v60_rotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,False,365,0
