policy,trade_id,asset,first_day,last_day,log_growth
robust_1.25__calmar,2021/31,ADA,2021-05-21,2021-05-25,-0.04201611736740526
robust_1.25__calmar,2021/32,ADA,2021-05-26,2021-05-30,-0.02187577192269992
robust_1.25__calmar,2021/33,ADA,2021-06-02,2021-06-03,0.0015557071736538748
robust_1.25__calmar,2021/34,ADA,2021-06-04,2021-06-05,-0.020284125871041926
robust_1.25__calmar,2021/35,SOL,2021-06-11,2021-06-12,-0.029978518083128746
robust_1.25__calmar,2021/36,BNB,2021-06-13,2021-06-14,0.01837675767316403
robust_1.25__calmar,2021/37,SOL,2021-06-14,2021-06-23,-0.10908137879463663
robust_1.25__calmar,2021/38,BNB,2021-07-14,2021-07-21,-0.07743289490054366
robust_1.25__calmar,2021/39,BNB,2021-07-26,2021-07-27,0.0007611299193582985
robust_1.25__calmar,2021/4,DOGE,2021-01-17,2021-01-18,-0.0028461228073104433
robust_1.25__calmar,2021/40,ETH,2021-07-28,2021-07-29,-0.001303685567762899
robust_1.25__calmar,2021/41,BTC,2021-07-29,2021-08-03,-0.02482808656248949
robust_1.25__calmar,2021/42,ETH,2021-08-03,2021-08-05,0.034877724602356774
robust_1.25__calmar,2021/43,LINK,2021-08-05,2021-08-09,-0.02641991380572392
robust_1.25__calmar,2021/44,ETH,2021-08-09,2021-08-13,0.006600846077424708
robust_1.25__calmar,2021/45,XRP,2021-08-13,2021-08-17,0.10611027561073359
robust_1.25__calmar,2021/46,SOL,2021-08-18,2021-08-21,0.09294979791035334
robust_1.25__calmar,2021/47,AVAX,2021-08-21,2021-08-26,0.06727662733184812
robust_1.25__calmar,2021/48,SOL,2021-09-01,2021-09-12,0.14201109942678514
robust_1.25__calmar,2021/49,AVAX,2021-09-22,2021-10-05,0.02375216487577088
robust_1.25__calmar,2021/5,ADA,2021-01-18,2021-01-21,-0.005510292458691477
robust_1.25__calmar,2021/50,BTC,2021-10-08,2021-10-19,0.09400720158555884
robust_1.25__calmar,2021/51,DOT,2021-10-19,2021-10-27,-0.021994468805627877
robust_1.25__calmar,2021/52,SOL,2021-10-30,2021-10-31,-0.01583588531784251
robust_1.25__calmar,2021/53,DOT,2021-10-31,2021-11-01,-0.0010833631205391008
robust_1.25__calmar,2021/54,BNB,2021-11-01,2021-11-02,0.0356526854993898
robust_1.25__calmar,2021/55,SOL,2021-11-02,2021-11-03,0.04854709904803662
robust_1.25__calmar,2021/56,DOT,2021-11-03,2021-11-05,0.018028559708401677
robust_1.25__calmar,2021/57,SOL,2021-11-05,2021-11-10,-0.021142163941735702
robust_1.25__calmar,2021/58,AVAX,2021-11-10,2021-11-14,0.05349974594845561
robust_1.25__calmar,2021/59,LTC,2021-11-14,2021-11-15,0.0452410224792917
robust_1.25__calmar,2021/6,DOGE,2021-01-21,2021-01-22,-0.016067516689486402
robust_1.25__calmar,2021/60,AVAX,2021-11-15,2021-11-23,0.11821329931159054
robust_1.25__calmar,2021/61,AVAX,2021-12-02,2021-12-04,-0.1465070871934443
robust_1.25__calmar,2021/62,ETH,2021-12-09,2021-12-10,-0.0512606115896473
robust_1.25__calmar,2021/63,BNB,2021-12-10,2021-12-12,-0.01313494820838604
