date,base_return,btc_return,btc_close,base_selected_symbol,signal_regime,signal_position,executed_regime,executed_position,strategy_return,equity,btc_fast_ma,btc_slow_ma,btc_risk_ma,btc_ret_lb,btc_vol,btc_trend_ok,risk_off,btc_led
2020-07-01,0.0,0.010225911112813346,9232.0,ALT,BASE,ALT,BASE,ALT,0.0,1.71342208900545,9337.886999999999,8483.7489,8355.1261,-0.005215292444291197,0.021292576494524647,False,False,False
2020-07-02,0.0,-0.01575606585788547,9086.54,ALT,BASE,ALT,BASE,ALT,0.0,1.71342208900545,9318.9575,8507.167099999999,8364.96585,-0.03999839410552186,0.01788742877945856,False,False,False
2020-07-03,0.0,-0.0031122957693467956,9058.26,ALT,BASE,ALT,BASE,ALT,0.0,1.71342208900545,9298.2035,8530.975400000001,8375.79855,-0.04381559196650808,0.017609401296989284,False,False,False
2020-07-04,0.0,0.00852260809471117,9135.46,ALT,BASE,ALT,BASE,ALT,0.0,1.71342208900545,9287.8715,8554.956400000001,8388.35675,-0.022119223729140214,0.01750862003422447,False,False,False
2020-07-05,0.0,-0.007230068327155892,9069.41,ALT,BASE,ALT,BASE,ALT,0.0,1.71342208900545,9270.041000000001,8582.0594,8397.31465,-0.03783251043388414,0.017314671023039237,False,False,False
2020-07-06,0.0,0.03029855304810347,9344.2,ALT,BASE,ALT,BASE,ALT,0.0,1.71342208900545,9260.9715,8613.1349,8408.28415,-0.019042390025184708,0.018221788484178485,False,False,False
2020-07-07,0.006483941989417374,-0.009290254917489027,9257.39,ALT,BASE,ALT,BASE,ALT,0.006483941989417374,1.7245318184339475,9250.583999999999,8646.8946,8418.631949999999,-0.0219489621917901,0.018196481749886712,False,False,False
2020-07-08,0.10327807285798563,0.019300256335749166,9436.06,ALT,BASE,ALT,BASE,ALT,0.10327807285798563,1.9026381412240831,9253.071,8677.3114,8430.1485,0.005299201390960517,0.01855926548002024,False,False,False
2020-07-09,-0.03428321338261053,-0.021579981475319032,9232.43,ALT,BASE,ALT,BASE,ALT,-0.03428321338261053,1.8374095918386044,9249.181,8705.5313,8438.80345,-0.008356399358554922,0.018922409372299446,False,False,False
2020-07-10,-0.0026170045147537735,0.006055827122436908,9288.34,ALT,BASE,ALT,BASE,ALT,-0.0026170045147537735,1.8326010826413108,9245.6505,8731.985499999999,8448.6597,-0.007544649773746026,0.01882020727589605,False,False,False
2020-07-11,-0.005942980633363959,-0.00584711584631914,9234.03,ALT,BASE,ALT,BASE,ALT,-0.005942980633363959,1.8217099698984918,9242.617499999998,8756.3849,8458.551000000001,-0.0065263069559070574,0.015304480456793225,False,False,False
2020-07-12,0.01041013420293524,0.007442037766825393,9302.75,ALT,BASE,ALT,BASE,ALT,0.01041013420293524,1.8406742151639601,9223.4705,8782.0714,8469.0416,-0.039536677304353174,0.01492150300097839,False,False,False
2020-07-13,0.0045100959947037556,-0.006463680094595636,9242.62,ALT,BASE,ALT,BASE,ALT,0.0045100959947037556,1.8489758325693255,9204.357,8805.9277,8479.2447,-0.039716817542849725,0.014957653362647436,False,False,False
2020-07-14,-0.010462577748485802,0.0014314123051688554,9255.85,ALT,BASE,ALT,BASE,ALT,-0.010462577748485802,1.8296307791659976,9202.325,8830.7584,8489.250250000001,-0.004371542377822113,0.014760299484249045,False,False,False
2020-07-15,-0.007451192607084267,-0.006293317199392856,9197.6,ALT,BASE,ALT,BASE,ALT,-0.007451192607084267,1.815997847830582,9199.7305,8849.4354,8498.65755,-0.0056100390399902444,0.014698063623130937,False,False,False
2020-07-16,-0.024366716993793003,-0.006945290075672017,9133.72,ALT,BASE,ALT,BASE,ALT,-0.024366716993793003,1.771747942211157,9198.306,8868.7994,8507.38495,-0.003109511788094821,0.014586027581996024,False,False,False
2020-07-17,0.001633495249968142,0.0022553789693575688,9154.32,ALT,BASE,ALT,BASE,ALT,0.001633495249968142,1.7746420840589,9205.422,8886.7298,8516.92655,0.015792276964047947,0.014568422039063786,False,False,False
2020-07-18,0.008583322604180044,0.0017434391631492296,9170.28,ALT,BASE,ALT,BASE,ALT,0.008583322604180044,1.7898744095733319,9208.1185,8905.5972,8526.8018,0.005915744788210331,0.0145117896166972,False,False,False
