policy,neighbor,passed,cagr,max_drawdown,calmar,sharpe,total_return,turnover,cost_drag,max_realized_exposure,without_best_day_cagr,without_top_three_trades_cagr,asset_log_growth_share,trade_log_growth_share,net_log_growth,trade_log_growth_sum,log_reconciliation_error,trade_log_reconciliation_error,bankrupt,days,closed_episodes,profitable_fold_fraction,worst_fold_return
robust_1.25__all_calmar__cat4,vol_low,False,-0.03613893691223102,0.594137493096647,-0.06082588177338336,-0.09437347266247531,-0.1902446750313347,5.501472821891815,0.029160010552564796,1.102580243587093,-0.061900192083718,-0.11952247828373186,1000000.0,1000000.0,-0.21102314488728036,-0.2110231448872897,9.43689570931383e-15,9.353628982466944e-15,False,2094,65,0.5,-0.4956966233571104
robust_1.25__all_calmar__cat4,vol_high,False,-0.0411976609103234,0.6858310268274244,-0.06006969544801589,-0.022581786662806896,-0.2143090413315425,7.507337873259168,0.03770970881795326,1.1504734752445194,-0.07821762748374284,-0.15731416621706074,1000000.0,1000000.0,-0.24119174622503078,-0.24119174622502276,8.076872504148014e-15,8.021361352916756e-15,False,2094,65,0.5,-0.5977678265628592
robust_1.25__all_calmar__cat4,structure,False,-0.022419363076935594,0.5515993542806845,-0.04064428811047406,0.03996231122603216,-0.12189951513936959,8.010735947110396,0.04197836494205124,1.1345585416854507,-0.04460019570399121,-0.17027967893953144,1000000.0,1000000.0,-0.12999424444616342,-0.1299942444461563,7.382983113757291e-15,7.13318293321663e-15,False,2094,73,0.5,-0.44655725786411415
robust_1.25__all_calmar__trail3,vol_low,False,-0.049626040082279776,0.5908189231170409,-0.08399534635834419,-0.17189347513086495,-0.25309044743228604,6.682967803408707,0.028109909181327622,1.1377785203806046,-0.07502682348081813,-0.1231068488521666,1000000.0,1000000.0,-0.29181118208018564,-0.291811182080179,6.661338147750939e-15,6.661338147750939e-15,False,2094,74,0.3333333333333333,-0.40501723734062567
robust_1.25__all_calmar__trail3,vol_high,False,-0.07146421911766054,0.7295360338359009,-0.09795845003282652,-0.1487920704553599,-0.3462861180999959,8.902730243549865,0.0373330978340082,1.166248727822579,-0.10731557467768615,-0.17630970650749866,1000000.0,1000000.0,-0.42508551270090195,-0.4250855127008969,4.9404924595819466e-15,5.051514762044462e-15,False,2094,74,0.3333333333333333,-0.5308156850535598
robust_1.25__all_calmar__trail3,structure,True,0.0011442131967431823,0.4590287803186055,0.0024926829118405167,0.1263107279134056,0.0065776305404223745,10.431409989331762,0.04249079695806157,1.1345950241336529,-0.021571265598291478,-0.12645503241435818,30.994145960688865,64.17946688354446,0.006556092324024487,0.006556092324026607,2.1649348980190553e-15,2.1198320876436583e-15,False,2094,87,0.5,-0.3460290391008479
robust_1.25__all_calmar__tp25_trail3,vol_low,False,-0.06152043085106296,0.5959595500689736,-0.1032292054786988,-0.2669216318914504,-0.30511991560680696,6.655877840343419,0.027332801887122962,1.1377785203806043,-0.08161979052690382,-0.12096209660499713,1000000.0,1000000.0,-0.36401598874560515,-0.3640159887456065,9.992007221626409e-16,1.3322676295501878e-15,False,2094,74,0.3333333333333333,-0.40501723734062567
robust_1.25__all_calmar__tp25_trail3,vol_high,False,-0.09029014462604523,0.7306769530529897,-0.12357053859271959,-0.2595354528711349,-0.41871665910511024,8.86282354335395,0.03633785703558239,1.1662487278225786,-0.1186607505303724,-0.17330971202191137,1000000.0,1000000.0,-0.542516963046251,-0.5425169630462539,2.6645352591003757e-15,2.886579864025407e-15,False,2094,74,0.3333333333333333,-0.5308156850535598
robust_1.25__all_calmar__tp25_trail3,structure,False,-0.0044143084946796085,0.4096193861061923,-0.010776610298261654,0.09558820508430625,-0.025044564232314492,10.349567208200668,0.04095300944231317,1.1345950241336529,-0.025508257864891082,-0.1169106091261557,1000000.0,1000000.0,-0.02536351593382366,-0.025363515933824125,5.898059818321144e-16,4.649058915617843e-16,False,2094,87,0.3333333333333333,-0.2925345789070526
robust_1.25__all_calmar__tp50_trail3,vol_low,False,-0.07144284604996953,0.60423176862425,-0.11823748726856047,-0.36677721860538626,-0.34619984686106553,6.646186560810401,0.026397124029199654,1.1377785203806048,-0.08621186721063845,-0.11728957304549248,1000000.0,1000000.0,-0.42495355046302985,-0.4249535504630327,2.7755575615628914e-15,2.831068712794149e-15,False,2094,74,0.3333333333333333,-0.40501723734062567
robust_1.25__all_calmar__tp50_trail3,vol_high,False,-0.10509396728019926,0.7185024172059826,-0.1462680775506293,-0.36901355848101336,-0.47090072362117763,8.851603239011572,0.035184762027112654,1.1662487278225788,-0.1259974227074908,-0.16928952054523116,1000000.0,1000000.0,-0.6365791967183816,-0.6365791967183809,1.1102230246251565e-15,6.661338147750939e-16,False,2094,74,0.3333333333333333,-0.5308156850535598
robust_1.25__all_calmar__tp50_trail3,structure,False,-0.018830482944315108,0.38331044255546576,-0.049125932543803055,0.01542104012941085,-0.10325672098188166,10.348004269553897,0.03916737819586284,1.1345950241336533,-0.035427585736913514,-0.10981924047388336,1000000.0,1000000.0,-0.10898565742011437,-0.10898565742010682,7.271960811294775e-15,7.549516567451064e-15,False,2094,87,0.3333333333333333,-0.2528280221326934
aggressive_1.25__cross_sectional,vol_low,False,-0.03146967465306072,0.6367438586395298,-0.04942281613881442,-0.03368601972326206,-0.16749608910372726,2.296307764439521,0.032970952949496646,1.112842017166959,-0.04276157228612598,-0.1387453218822149,1000000.0,1000000.0,-0.18331735936527205,-0.18331735936526983,2.8033131371785203e-15,2.220446049250313e-15,False,2094,17,0.5,-0.5918192047644086
aggressive_1.25__cross_sectional,vol_high,True,0.009255938037062483,0.6822229084463345,0.013567322238037366,0.17033572468479957,0.05424067287851675,2.726313382902033,0.03846279409389475,1.1662487278225784,-0.007957343441563847,-0.1471937446700794,15.951260440321825,8.793376611952176,0.052820766442501776,0.05282076644250601,3.9968028886505635e-15,4.232725281383409e-15,False,2094,17,0.5,-0.620350839952265
aggressive_1.25__cross_sectional,structure,True,0.032357798658341874,0.49771360627091,0.06501288743295724,0.25374699757453156,0.20029944702978209,6.806763376238298,0.047529082650871704,1.1345585416854507,0.008934098680659641,-0.12535227311081476,1.5154201675938643,2.1630918411470255,0.18257106485570962,0.18257106485570912,8.326672684688674e-16,4.996003610813204e-16,False,2094,42,0.5,-0.4169837072841891
aggressive_1.25__dual_momentum,vol_low,False,-0.0326329189299448,0.4769325267853902,-0.06842250653335905,-0.05035400189447676,-0.17321214060038537,4.391044144171918,0.027065469123075794,1.1256696064783085,-0.04468248740123926,-0.11591077858604293,1000000.0,1000000.0,-0.1902071351241157,-0.1902071351241118,3.885780586188048e-15,3.885780586188048e-15,False,2094,27,0.5,-0.3794875904328765
aggressive_1.25__dual_momentum,vol_high,False,-0.009103048174350037,0.5578987963161663,-0.016316665736613736,0.10718624211124361,-0.05107669955562766,5.469419521193383,0.03332936450177545,1.1662487278225784,-0.02839587932755494,-0.1300524082575245,1000000.0,1000000.0,-0.05242730508799609,-0.05242730508799512,8.604228440844963e-16,9.71445146547012e-16,False,2094,27,0.5,-0.3794875904328765
aggressive_1.25__dual_momentum,structure,True,0.11001853250340199,0.583085872675492,0.18868324145563928,0.5021867086303697,0.8192019217445128,6.61772605985205,0.03579980475594823,1.1454091982070547,0.08483274797325513,-0.10767662454766791,1.1169954208313755,0.7850786647240565,0.598397900381493,0.5983979003814998,6.8833827526759706e-15,6.772360450213455e-15,False,2094,35,0.6666666666666666,-0.5174550324784858
aggressive_1.25__relative_strength,vol_low,False,0.06494124960543801,0.4477816051204879,0.14502884634567287,0.388460954842242,0.4343646555974481,4.994227710800593,0.03259861897643129,1.1454091982070531,0.04920491267678462,-0.0927073957782848,1.5966233550388063,1.0953760109012458,0.3607220024568552,0.3607220024568572,2.1649348980190553e-15,1.9984014443252818e-15,False,2094,31,0.6666666666666666,-0.3794875904328765
aggressive_1.25__relative_strength,vol_high,True,0.1478603309479043,0.5611065849014093,0.2635155867470072,0.6018228061851267,1.2046897068398636,5.943962467194793,0.039854910396321816,1.1662487278225784,0.12356500729950826,-0.09988948195387692,1.1452563256155448,0.8030386624190624,0.790586776474861,0.7905867764748591,2.4424906541753444e-15,1.887379141862766e-15,False,2094,31,0.6666666666666666,-0.3794875904328765
aggressive_1.25__relative_strength,structure,False,-0.030391699840580544,0.5987004362468262,-0.05076278218720214,0.028413469214802443,-0.16216995481481644,5.918849009691252,0.03944123327606866,1.1345585416854505,-0.052391643995911674,-0.15846562928785835,1000000.0,1000000.0,-0.1769400091103399,-0.17694000911033336,6.38378239159465e-15,6.5503158452884236e-15,False,2094,33,0.5,-0.5174550324784858
aggressive_1.25__breakout,vol_low,True,0.06292275332917363,0.3673437645634663,0.17129119750800184,0.40340379636583346,0.4188479144579431,15.493438538330226,0.040981692892406635,0.9532158730949893,0.025878488200591576,-0.029936032771564647,0.9257696178906155,0.5416422280570693,0.349845214462082,0.3498452144620854,3.3306690738754696e-15,3.3861802251067274e-15,False,2094,136,0.6666666666666666,-0.17698505656257713
aggressive_1.25__breakout,vol_high,True,0.09591329708652152,0.41512464786853964,0.23104698210281902,0.47590689411618736,0.6905939193601354,21.433032191991547,0.05645557951329348,1.1357780485122277,0.05359938944208675,-0.03881555621078414,0.7706638183115365,0.5326125580371425,0.5250798987714183,0.5250798987714159,2.1094237467877974e-15,2.3314683517128287e-15,False,2094,136,0.6666666666666666,-0.24049108974733513
aggressive_1.25__breakout,structure,False,-0.07296434669502494,0.5280847609166743,-0.1381678701888121,-0.2986807804498933,-0.3523178693941579,18.06556809586143,0.04656151330491416,1.1357780485122282,-0.09063580838976926,-0.1564045522545381,1000000.0,1000000.0,-0.4343552421720801,-0.4343552421720776,2.1094237467877974e-15,2.4980018054066022e-15,False,2094,144,0.3333333333333333,-0.3276541130173599
aggressive_1.25__vol_adjusted,vol_low,True,0.2007668600875121,0.3756097052147064,0.5345092453688053,0.8268451537730691,1.8545747534293473,3.92325297452252,0.03150388586517919,1.1498687494764537,0.17347504044440054,0.03206846407614483,0.59124522128956,0.4394499622721762,1.0489228840033826,1.0489228840033828,2.220446049250313e-16,2.220446049250313e-16,False,2094,25,0.6666666666666666,-0.19931465115508595
aggressive_1.25__vol_adjusted,vol_high,True,0.26809039889269837,0.468637098891999,0.5720639691704856,0.8829921587039926,2.9027103617622934,4.952687383337215,0.039632924158430116,1.1587745526602489,0.23885921730558857,0.04743767361334861,0.5424586863502475,0.36634561265026533,1.361671276313994,1.3616712763140026,9.103828801926284e-15,8.659739592076221e-15,False,2094,25,0.6666666666666666,-0.27304204707579105
aggressive_1.25__vol_adjusted,structure,False,0.013097788903350782,0.56615835545537,0.023134497225279008,0.1824592525721124,0.07745620464921132,5.359901869048194,0.038385252757064996,1.1476330799662546,-0.008694105575793643,-0.138315747261205,2.590449391366979,4.719770391686273,0.07460289683256136,0.0746028968325537,8.243405957841787e-15,7.66053886991358e-15,False,2094,31,0.5,-0.4015120045242272
aggressive_1.25__ensemble,vol_low,True,0.0647271814439232,0.328538536033391,0.1970154923845666,0.4871101940612154,0.4327124432483114,7.889339085643785,0.02939750712399289,0.7467713115773253,0.05453994139851237,-0.01961260593985925,0.6079090872537265,0.5619427163903357,0.35956946105314136,0.3595694610531393,1.7763568394002505e-15,2.0539125955565396e-15,False,2094,73,0.6666666666666666,-0.20406831264142045
