policy,fold,variant,cagr,max_drawdown,calmar,sharpe,total_return,turnover,cost_drag,max_realized_exposure,without_best_day_cagr,without_top_three_trades_cagr,asset_log_growth_share,trade_log_growth_share,net_log_growth,asset_log_growth,trade_log_growth_sum,log_reconciliation_error,trade_log_reconciliation_error,bankrupt,days,closed_episodes
aggressive_2__ensemble,2024,ensemble_90_monthly_v25,0.1175493573365034,0.2968594501645736,0.3959764705867916,0.6358934660325526,0.11780442225028298,8.396755237190956,0.036070702045741906,0.6804354811057606,0.04927039335549721,-0.26995855097685817,1.6096307759036954,2.1414520834336934,0.11136642405451336,"[0.0, 0.0, -0.05156715269948754, 0.0, 0.1792588235604863, 0.0, 0.0, 0.0448382559368154, 0.0, 0.02903533405733523, -0.009190851047174257, -0.08100798575346224]",0.1113664240545129,4.996003610813204e-16,4.579669976578771e-16,False,366,12
aggressive_2__ensemble,2025,ensemble_90_monthly_v25,-0.0059444821087617505,0.24506601858870514,-0.024256655994148207,0.0793222441861452,-0.005940425441647412,11.588254147668241,0.051871758823593406,0.9200661699288938,-0.05047077204121919,-0.19759732218277615,1000000.0,1000000.0,-0.00595813995821122,"[0.0, -0.09629627145993545, -0.046074600687599984, 0.09991338810743193, 0.0, 0.0, 0.11412249617606446, 0.0, -0.029699883235205053, 0.0, -0.025582282536488712, -0.02234098632248203]",-0.005958139958214783,3.625572064791527e-15,3.563122019656362e-15,False,365,12
aggressive_2__ensemble,2026,ensemble_90_weekly_v50,0.20521217026059646,0.16929819553747993,1.2121344212151732,0.9364121793025445,0.14677934966242945,14.250732128207318,0.06330259456126659,1.325735702261104,0.07446007104042396,-0.09253170640007746,0.7698602590711544,0.7698602590711544,0.13695744794345577,"[0.0, -0.023482508359070727, -0.002364199781149239, 0.0, 0.0, 0.0, 0.10543809635547301, 0.09360062459213293, 0.0, 0.0, -0.036234564863928835, 0.0]",0.13695744794345716,1.3600232051658168e-15,1.3877787807814457e-15,False,268,9
aggressive_2__regime_allocation,2021,regime_allocation_90_weekly_v50,0.6761460296671598,0.2690612295677405,2.512982010650216,1.728077105929527,0.6755535781942612,15.562317414250696,0.0440794066290576,0.8573192037736533,0.5602287960677792,-0.17679660321841373,0.9674319528511567,0.611920610607284,0.5161436051201075,"[0.0, 0.03578276921686886, 0.0509997420127808, -0.05726336082814583, -0.02494480315418583, 0.0, 0.012235442019807249, 0.0, 0.0, 0.49933381585298187, 0.0, 0.0]",0.5161436051201074,3.3306690738754696e-16,1.1102230246251565e-16,False,365,19
aggressive_2__regime_allocation,2022,regime_allocation_180_weekly_v50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,False,365,0
aggressive_2__regime_allocation,2023,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,False,365,0
aggressive_2__regime_allocation,2024,regime_allocation_90_weekly_v50,0.23551929791064463,0.44608088607112095,0.5279744218251364,0.7061435408356019,0.2360559681576473,26.20985790178912,0.09493319963838096,1.5976510697322306,0.10018853355414481,-0.36965373108738697,0.7039189198009663,1.4155606901456375,0.2119256396912582,"[0.0, 0.14917846736959925, 0.027695452898328223, 0.041473111225731156, -0.11002868592427095, 0.0, 0.0, 0.0, 0.0, 0.11976852493295023, 0.0, -0.016161230811077863]",0.21192563969126013,1.8596235662471372e-15,1.942890293094024e-15,False,366,18
aggressive_2__regime_allocation,2025,regime_allocation_180_weekly_v25,0.10628500648574346,0.15552025733553354,0.6834158347387153,0.5869519961689583,0.10620852511150258,13.853130972325802,0.058816663825492464,1.1788305482356096,0.04766764233894438,-0.1267822487347412,0.8043317273620607,1.1574060916228006,0.10093842521255195,"[0.0, 0.0, 0.0, -0.025909745670362888, 0.0, 0.0, 0.007258961187734771, 0.0, 0.0, 0.0, 0.03840123178676323, 0.08118797790841809]",0.1009384252125532,1.2490009027033011e-15,1.2490009027033011e-15,False,365,11
aggressive_2__regime_allocation,2026,regime_allocation_180_weekly_v50,0.035776494565562755,0.13337524343760176,0.2682393946842198,0.32908614338984765,0.026127610600584328,5.418362169711494,0.016694083029532902,0.7591053582380403,-0.016805037063198247,-0.02842046196586201,0.955712588128841,1.7759404350038195,0.02579211581811257,"[0.0, 0.0, 0.0, 0.0011422660562653473, 0.0, 0.0, 0.0, 0.024649849761847184, 0.0, 0.0, 0.0, 0.0]",0.025792115818112527,4.163336342344337e-17,4.5102810375396984e-17,False,268,3
aggressive_2__slow_hysteresis,2021,slow_hysteresis_180_monthly_v25,1.4990328746912853,0.15031888608619415,9.972352202182545,3.5396915423174407,1.4974667169748823,2.4031302296991375,0.019908710495587657,0.4250773472479689,1.2326841024507789,-0.016631126834201204,0.42264691034746543,0.42264691034746543,0.915276904915187,"[0.0, -0.016759497659003596, 0.0, 0.0, 0.3445540032972516, 0.0, 0.20064344330214273, 0.0, 0.0, 0.3868389559747947, 0.0, 0.0]",0.9152769049151853,1.6653345369377348e-15,1.6653345369377348e-15,False,365,4
aggressive_2__slow_hysteresis,2022,slow_hysteresis_180_monthly_v50,-0.32416712492103683,0.35780558174557375,-0.9059867745482619,-1.8748500687916423,-0.3239858564587459,3.514411624668712,0.024774980002790242,0.5241268675918513,-0.3501586610897338,-0.32470954050559375,1000000.0,1000000.0,-0.3915412807597395,"[0.0, -0.2011493186950035, 0.0, 0.0, -0.17440022253949494, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015991739525241203, 0.0]",-0.39154128075973965,1.6653345369377348e-16,1.6653345369377348e-16,False,365,4
aggressive_2__slow_hysteresis,2023,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,False,365,0
aggressive_2__slow_hysteresis,2024,slow_hysteresis_180_monthly_v100,0.1701758189367879,0.5616002951315531,0.30301946137140967,0.5632234974272315,0.17055349346948523,10.62647530374015,0.09524007628777917,1.9999999999999996,0.004267646684982029,-0.3680416375656437,2.970066716467158,2.970066716467158,0.15747670828813615,"[0.0, 0.0, -0.3937717426889176, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.467716329905401, 0.1496345126416827, -0.06610239157003044]",0.15747670828813554,4.996003610813204e-16,6.106226635438361e-16,False,366,5
aggressive_2__slow_hysteresis,2025,slow_hysteresis_180_monthly_v25,-0.0015232812970742415,0.19831356432766345,-0.007681175527446025,0.08880666472853914,-0.0015222394618185087,5.820437743974812,0.0463163939357914,0.911692868950107,-0.05514766515744629,-0.10374367292046771,1000000.0,1000000.0,-0.0015233992454356526,"[0.0, 0.0, 0.01600763132829007, 0.019552398587030364, 0.0, 0.0, -0.0997587989125179, 0.0, 0.0, 0.0, -0.00969506028103612, 0.07237043003279621]",-0.0015233992454373735,1.7208456881689926e-15,1.7208456881689926e-15,False,365,5
aggressive_2__slow_hysteresis,2026,slow_hysteresis_90_monthly_v25,0.09972548491582955,0.09874905111752308,1.0098880322115136,1.0074179191606805,0.07224023592395667,3.755008053413973,0.030325524863368872,0.5377690696194204,0.04511126978601365,-0.006505868138999893,1.0046239067498393,1.0046239067498393,0.06975013821713644,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07007265635204088, -0.0003225181349001111, 0.0]",0.06975013821714077,4.3298697960381105e-15,4.3298697960381105e-15,False,268,3
aggressive_2__all_growth,2021,breakout_55_daily_v25,0.5907359393065887,0.17951300518118307,3.2907695947174247,1.8028353669162616,0.5902306024267714,14.03222730962618,0.034044189151959246,0.40028779948607535,0.31390340548876594,0.005890449862722802,0.44046354602900367,0.4233161647622065,0.46387903868868535,"[-0.017381651577976175, -0.01748183331937705, 0.20432180630934374, -0.007800044740419344, 0.1548358441524548, 0.007583391932840677, 0.05363746522643802, 0.0, 0.049965173417028164, 0.07944886409003121, 0.0, -0.043249976801681175]",0.4638790386886831,2.4980018054066022e-15,2.275957200481571e-15,False,365,37
aggressive_2__all_growth,2022,cross_sectional_180_monthly_v100,-0.6182675984647994,0.6385244982250093,-0.9682754540874771,-2.4210167591122014,-0.6180158920874672,2.4436196497257767,0.05252054136105569,0.5114026085446407,-0.6428953635926788,-0.6182675984647996,1000000.0,1000000.0,-0.9623762735641761,"[0.0, -0.5103693420031626, 0.0, 0.0, -0.29497906671782703, 0.0, 0.0, 0.0, 0.0, 0.0, -0.15702786484318526, 0.0]",-0.9623762735641749,1.1102230246251565e-15,1.2212453270876722e-15,False,365,3
aggressive_2__all_growth,2023,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,False,365,0
aggressive_2__all_growth,2024,cross_sectional_180_monthly_v50,0.2133645634198118,0.4180367147823729,0.5103967088892849,0.7047679831405741,0.2138465096759461,5.840821128543373,0.06471583358722591,1.5040660798189531,0.12032231243100311,-0.1907782870345237,1.3224166579755294,1.3224166579755294,0.19379425109856713,"[0.0, 0.0, -0.17959722321179616, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2562767458726377, 0.14963451264168523, -0.032519784203958665]",0.19379425109856813,9.992007221626409e-16,9.992007221626409e-16,False,366,4
aggressive_2__all_growth,2025,dual_momentum_30_monthly_v50,-0.0376298564829165,0.4620079680689986,-0.08144850107281412,0.05573684342215287,-0.03760459071540356,15.957994181824299,0.0513533702117922,1.5389744177322393,-0.1188465621616498,-0.2668509780104221,1000000.0,1000000.0,-0.03832988440308268,"[0.0, -0.2027661023675984, -0.0564088861425901, 0.0, 0.0, 0.0, 0.19719566586868428, 0.021408525543355195, 0.0124398157348078, 0.02222847505861091, 0.07297848865411502, -0.10540586675246613]",-0.03832988440308141,1.2698175844150228e-15,1.2698175844150228e-15,False,365,11
aggressive_2__all_growth,2026,vol_adjusted_90_monthly_v50,0.2022780681833125,0.11396401103284004,1.7749293513811457,1.225788161677678,0.14473018422989026,4.693532446270387,0.0354073974742338,0.7379923798444296,0.08821878376784142,-0.006505868138998894,1.0023860369235096,1.0023860369235096,0.13516896227629996,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13549148041120368, -0.0003225181349001111, 0.0]",0.13516896227630357,3.608224830031759e-15,3.608224830031759e-15,False,268,3
aggressive_2__all_calmar,2021,breakout_55_daily_v25,0.5907359393065887,0.17951300518118307,3.2907695947174247,1.8028353669162616,0.5902306024267714,14.03222730962618,0.034044189151959246,0.40028779948607535,0.31390340548876594,0.005890449862722802,0.44046354602900367,0.4233161647622065,0.46387903868868535,"[-0.017381651577976175, -0.01748183331937705, 0.20432180630934374, -0.007800044740419344, 0.1548358441524548, 0.007583391932840677, 0.05363746522643802, 0.0, 0.049965173417028164, 0.07944886409003121, 0.0, -0.043249976801681175]",0.4638790386886831,2.4980018054066022e-15,2.275957200481571e-15,False,365,37
aggressive_2__all_calmar,2022,slow_hysteresis_180_monthly_v50,-0.32416712492103683,0.35780558174557375,-0.9059867745482619,-1.8748500687916423,-0.3239858564587459,3.514411624668712,0.024774980002790242,0.5241268675918513,-0.3501586610897338,-0.32470954050559375,1000000.0,1000000.0,-0.3915412807597395,"[0.0, -0.2011493186950035, 0.0, 0.0, -0.17440022253949494, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015991739525241203, 0.0]",-0.39154128075973965,1.6653345369377348e-16,1.6653345369377348e-16,False,365,4
aggressive_2__all_calmar,2023,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,False,365,0
aggressive_2__all_calmar,2024,cross_sectional_180_monthly_v50,0.2133645634198118,0.4180367147823729,0.5103967088892849,0.7047679831405741,0.2138465096759461,5.840821128543373,0.06471583358722591,1.5040660798189531,0.12032231243100311,-0.1907782870345237,1.3224166579755294,1.3224166579755294,0.19379425109856713,"[0.0, 0.0, -0.17959722321179616, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2562767458726377, 0.14963451264168523, -0.032519784203958665]",0.19379425109856813,9.992007221626409e-16,9.992007221626409e-16,False,366,4
aggressive_2__all_calmar,2025,dual_momentum_30_monthly_v50,-0.0376298564829165,0.4620079680689986,-0.08144850107281412,0.05573684342215287,-0.03760459071540356,15.957994181824299,0.0513533702117922,1.5389744177322393,-0.1188465621616498,-0.2668509780104221,1000000.0,1000000.0,-0.03832988440308268,"[0.0, -0.2027661023675984, -0.0564088861425901, 0.0, 0.0, 0.0, 0.19719566586868428, 0.021408525543355195, 0.0124398157348078, 0.02222847505861091, 0.07297848865411502, -0.10540586675246613]",-0.03832988440308141,1.2698175844150228e-15,1.2698175844150228e-15,False,365,11
aggressive_2__all_calmar,2026,vol_adjusted_90_monthly_v25,0.09972548491582955,0.09874905111752308,1.0098880322115136,1.0074179191606805,0.07224023592395667,3.755008053413973,0.030325524863368872,0.5377690696194204,0.04511126978601365,-0.006505868138999893,1.0046239067498393,1.0046239067498393,0.06975013821713644,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07007265635204088, -0.0003225181349001111, 0.0]",0.06975013821714077,4.3298697960381105e-15,4.3298697960381105e-15,False,268,3
aggressive_2__all_calmar__cat4,2021,breakout_55_daily_v25,0.5669083326402564,0.17951300518118307,3.158034884815582,1.7471093527096393,0.5664267464810788,14.146293252321644,0.03417118498198132,0.40028779948607535,0.294222468653214,-0.009176766132403036,0.45526546624186337,0.43754184167035093,0.44879706777670136,"[-0.01738165157797331, -0.02039003428144167, 0.2043218063093411, -0.007800044740419299, 0.142662074202536, 0.007583391932840313, 0.05363746522643857, 0.0, 0.049965173417028164, 0.07944886409003132, 0.0, -0.043249976801681175]",0.44879706777670003,1.3877787807814457e-15,1.3322676295501878e-15,False,365,39
aggressive_2__all_calmar__cat4,2022,slow_hysteresis_180_monthly_v50,-0.3641205260068019,0.3957451664607933,-0.9200883721794629,-2.0088678753314024,-0.36392344410904676,4.213746132740967,0.026458167239742737,0.5241268675918513,-0.39553195193837765,-0.3646308754575488,1000000.0,1000000.0,-0.4524363519882842,"[0.0, -0.2620443899235435, 0.0, 0.0, -0.1744002225394965, 0.0, 0.0, 0.0, 0.0, 0.0, -0.015991739525241105, 0.0]",-0.452436351988281,3.0531133177191805e-15,3.164135620181696e-15,False,365,5
aggressive_2__all_calmar__cat4,2023,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,False,365,0
aggressive_2__all_calmar__cat4,2024,cross_sectional_180_monthly_v50,0.028709801887127684,0.4575724074923999,0.0627437350177295,0.2601533904172743,0.028769594261052855,8.185714982162086,0.06496385832900098,1.4440309630754802,-0.050172900366898365,-0.3179897016504102,9.03543532032794,9.03543532032794,0.02836351949707014,"[0.0, 0.0, -0.3450279548132976, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2562767458726377, 0.1496345126416877, -0.03251978420395889]",0.028363519497069,1.2351231148954867e-15,1.1379786002407855e-15,False,366,6
aggressive_2__all_calmar__cat4,2025,dual_momentum_30_monthly_v50,-0.07737405968636146,0.26938441410541447,-0.2872254504526893,-0.0716004251284541,-0.07732320246610591,15.932713196506183,0.05068029658231901,1.538974417732239,-0.15523665751402038,-0.2971287499307673,1000000.0,1000000.0,-0.08047627098681023,"[0.0, -0.18820410735190377, -0.05640888614259021, 0.0, 0.0, 0.0, 0.1971956658686842, 0.021408525543357284, 0.012439815734807656, 0.022228475058611325, 0.0729784886541148, -0.1621142483518914]",-0.0804762709868101,1.3877787807814457e-16,1.3877787807814457e-16,False,365,11
aggressive_2__all_calmar__cat4,2026,vol_adjusted_90_monthly_v25,0.09972548491582955,0.09874905111752308,1.0098880322115136,1.0074179191606805,0.07224023592395667,3.755008053413973,0.030325524863368872,0.5377690696194204,0.04511126978601365,-0.006505868138999893,1.0046239067498393,1.0046239067498393,0.06975013821713644,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07007265635204088, -0.0003225181349001111, 0.0]",0.06975013821714077,4.3298697960381105e-15,4.3298697960381105e-15,False,268,3
