date,live_strategy_index,live_strategy_exposure_x,live_strategy_return_net,live_strategy_vs_btc_return,live_strategy_source,strategy_execution_index,model_index,btc_index,strategy_execution_exposure_x,strategy_execution_return_net,strategy_execution_vs_btc_return,strategy_execution_source,model_authorized_exposure_x,model_authorized_return_net,model_authorized_return_gross,model_transition_cost,model_asset_transition_day,real_account_index,real_account_exposure_x,real_account_return_net,real_account_vs_btc_return,real_account_source,chart_scope
2018-06-30,1.0,0.0,0.0,-0.0310023363,pre_live,1.0,1.0,0.6478173155,0.0,0.0,-0.0310023363,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0310023363,real_account_flat_no_history,real_account_flat_no_history
2018-07-01,1.0,0.0,0.0,0.0052049508,pre_live,1.0,1.0,0.6444454582,0.0,0.0,0.0052049508,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0052049508,real_account_flat_no_history,real_account_flat_no_history
2018-07-02,1.0,0.0,0.0,-0.0406619043,pre_live,1.0,1.0,0.6706498378,0.0,0.0,-0.0406619043,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0406619043,real_account_flat_no_history,real_account_flat_no_history
2018-07-03,1.0,0.0,0.0,0.0153326612,pre_live,1.0,1.0,0.6603669911,0.0,0.0,0.0153326612,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0153326612,real_account_flat_no_history,real_account_flat_no_history
2018-07-04,1.0,0.0,0.0,-0.011225295,pre_live,1.0,1.0,0.6677798054,0.0,0.0,-0.011225295,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.011225295,real_account_flat_no_history,real_account_flat_no_history
2018-07-05,1.0,0.0,0.0,0.0087718499,pre_live,1.0,1.0,0.6619221411,0.0,0.0,0.0087718499,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0087718499,real_account_flat_no_history,real_account_flat_no_history
2018-07-06,1.0,0.0,0.0,-0.0123414813,pre_live,1.0,1.0,0.6700912409,0.0,0.0,-0.0123414813,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0123414813,real_account_flat_no_history,real_account_flat_no_history
2018-07-07,1.0,0.0,0.0,-0.0222700302,pre_live,1.0,1.0,0.685014193,0.0,0.0,-0.0222700302,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,-0.0222700302,real_account_flat_no_history,real_account_flat_no_history
2018-07-08,1.0,0.0,0.0,0.0066420205,pre_live,1.0,1.0,0.6804643147,0.0,0.0,0.0066420205,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0066420205,real_account_flat_no_history,real_account_flat_no_history
2018-07-09,1.0,0.0,0.0,0.0074462538,pre_live,1.0,1.0,0.6753974047,0.0,0.0,0.0074462538,pre_live,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0074462538,real_account_flat_no_history,real_account_flat_no_history
