profile,decision_date,period_start,period_end,incumbent_asset_before,incumbent_hold_periods_before,selected_asset,selected,keep_reason,best_passed_asset,best_passed_score
phase67b_top100_pruned_soft_filters,2025-11-02,2025-11-03,2025-11-08,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-11-09,2025-11-10,2025-11-15,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-11-16,2025-11-17,2025-11-22,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-11-23,2025-11-24,2025-11-29,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-11-30,2025-12-01,2025-12-06,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-12-07,2025-12-08,2025-12-13,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-12-14,2025-12-15,2025-12-20,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-12-21,2025-12-22,2025-12-27,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2025-12-28,2025-12-29,2026-01-03,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2026-01-04,2026-01-05,2026-01-10,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2026-01-11,2026-01-12,2026-01-17,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2026-01-18,2026-01-19,2026-01-24,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2026-01-25,2026-01-26,2026-01-31,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2026-02-01,2026-02-02,2026-02-07,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2026-02-08,2026-02-09,2026-02-14,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2026-02-15,2026-02-16,2026-02-21,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2026-02-22,2026-02-23,2026-02-28,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2026-03-01,2026-03-02,2026-03-07,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2026-03-08,2026-03-09,2026-03-14,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2026-03-15,2026-03-16,2026-03-21,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2026-03-22,2026-03-23,2026-03-28,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2026-03-29,2026-03-30,2026-04-04,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2026-04-05,2026-04-06,2026-04-11,,0,,False,best_passed,,
phase67b_top100_pruned_soft_filters,2026-04-12,2026-04-13,2026-04-17,,0,,False,best_passed,,
