model,days,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,cash_days_pct,btc_days_pct,base_days_pct,candidate_days_pct,trade_count,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,asset,trigger_days,delta_vs_phase63_cagr_pct,delta_vs_phase63_max_drawdown_pct,delta_vs_phase63_since2021_cagr_pct,delta_vs_phase63_since2023_cagr_pct,delta_vs_phase63_since2025_cagr_pct,delta_vs_phase66g_cagr_pct,delta_vs_phase66g_max_drawdown_pct,delta_vs_phase66g_since2021_cagr_pct,delta_vs_phase66g_since2023_cagr_pct,delta_vs_phase66g_since2025_cagr_pct,forensic_score,keep_candidate,file,history_days,start_date,end_date,cg_rank,name
asset_ETC,2888,22926.978780581965,98.95547904792568,-33.45815502995442,1.504758459133256,1.9781548145684176,42.1398891966759,8.310249307479225,49.445983379501385,0.10387811634349031,845,1287.0442568583815,65.13233009545746,-33.45815502995444,1158.2821734771933,118.26405520042292,-25.866176348777348,149.9093451554409,108.94027003726592,-20.80923724935961,ETC,3,-1.951590695491717,0.0,-2.4489083809039585,-5.254708587278188,0.0,-13.981587750346648,-9.858122034397478,-13.312554698251105,-15.808460324344054,0.0,-51.51338161967324,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\ETCUSDT_1d.csv,2644,2019-01-01,2026-03-28,59,Ethereum Classic
asset_MANA,2888,22758.831447889203,98.77115109628349,-33.45815502995442,1.5027276448399012,1.9781000829425062,42.1398891966759,8.310249307479225,49.445983379501385,0.10387811634349031,845,1276.9157986555051,64.90165879404108,-33.45815502995444,1149.0939602399658,117.77155414074389,-25.866176348777348,149.9093451554409,108.94027003726592,-20.80923724935961,MANA,3,-2.135918647133906,0.0,-2.6795796823203375,-5.7472096469572165,0.0,-14.165915701988837,-9.858122034397478,-13.543225999667484,-16.300961384023083,0.0,-52.682711690673486,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\MANAUSDT_1d.csv,2061,2020-08-06,2026-03-28,192,Decentraland
asset_FIL,2888,22748.140332548384,98.75939118323558,-33.45815502995442,1.5026390861545038,1.9780050983009578,42.1398891966759,8.310249307479225,49.445983379501385,0.10387811634349031,845,1276.271812734726,64.88694591497854,-33.45815502995444,1148.5097568159715,117.74015539618259,-25.866176348777348,149.9093451554409,108.94027003726592,-20.80923724935961,FIL,3,-2.1476785601818165,0.0,-2.6942925613828805,-5.778608391518517,0.0,-14.177675615036748,-9.858122034397478,-13.557938878730027,-16.332360128584384,0.0,-52.757269092844,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\FILUSDT_1d.csv,1991,2020-10-15,2026-03-28,84,Filecoin
asset_FET,2888,18830.08425191134,94.08641634107005,-46.860682875861826,1.4525966873344758,1.8292591871590769,42.1398891966759,8.414127423822714,49.34210526315789,0.10387811634349031,842,1040.2652902777086,59.0757090511812,-46.86068287586187,1259.2456285609821,123.5187637877011,-25.866176348777348,149.9093451554409,108.94027003726592,-20.80923724935961,FET,3,-6.820653402347347,-13.402527845907407,-8.505529425180221,0.0,0.0,-18.850650457202278,-23.260649880304886,-19.369175742527368,-10.553751737065866,0.0,-53.91454385951694,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\FETUSDT_1d.csv,2586,2019-02-28,2026-03-28,93,Artificial Superintelligence Alliance
asset_AXS,2888,22377.13064360139,98.34828339626335,-33.45815502995442,1.4981178721708268,1.9714752913496207,42.1398891966759,8.310249307479225,49.23822714681441,0.31163434903047094,839,1253.9238154921736,64.37288523468068,-33.45815502995444,1128.2363687072823,116.64418290587797,-25.866176348777348,149.9093451554409,108.94027003726592,-20.80923724935961,AXS,9,-2.55878634715404,0.0,-3.20835324168074,-6.874580881823135,0.0,-14.588783402008971,-9.858122034397478,-14.071999559027887,-17.428332618889,0.0,-55.36032186042546,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\AXSUSDT_1d.csv,1971,2020-11-04,2026-03-28,168,Axie Infinity
asset_ENS,2888,22364.051799956113,98.3336831440423,-33.45815502995442,1.4983706364806413,1.9749668481146552,42.1398891966759,8.310249307479225,49.445983379501385,0.10387811634349031,845,1253.13600328557,64.35463861670156,-33.45815502995444,1127.5216906782925,116.60532004109996,-25.866176348777348,149.9093451554409,108.94027003726592,-20.80923724935961,ENS,3,-2.573386599375098,0.0,-3.2265998596598564,-6.913443746601146,0.0,-14.60338365423003,-9.858122034397478,-14.090246177007003,-17.467195483667012,0.0,-55.45264784220254,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\ENSUSDT_1d.csv,1600,2021-11-10,2026-03-28,156,Ethereum Name Service
asset_UNI,2888,22275.733693461596,98.23489652699489,-33.45815502995442,1.4900836808540165,1.9511406269485263,42.1398891966759,8.206371191135734,48.37257617728532,1.2811634349030472,840,1247.8161077162454,64.23119829338415,-33.45815502995444,1122.6956516196583,116.342478417527,-28.076113253341816,149.9093451554409,108.94027003726592,-20.80923724935961,UNI,37,-2.6721732164225074,0.0,-3.350040182977267,-7.176285370174099,0.0,-14.702170271277438,-9.858122034397478,-14.213686500324414,-17.730037107239966,0.0,-56.07711770639585,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\UNIUSDT_1d.csv,2019,2020-09-17,2026-03-28,42,Uniswap
asset_DEXE,2888,22180.578400518272,98.12808039180787,-35.430078337354374,1.4919667214742964,1.9628916615172198,42.1398891966759,8.310249307479225,48.822714681440445,0.7271468144044322,829,1242.084370007862,64.0977597279407,-35.430078337354374,1117.4960025487344,116.05848438289948,-35.33656754410386,149.9093451554409,108.94027003726592,-20.80923724935961,DEXE,21,-2.7789893516095248,-1.9719233073999547,-3.4834787484207226,-7.460279404801625,0.0,-14.808986406464456,-11.830045341797433,-14.34712506576787,-18.01403114186749,0.0,-57.9350758952779,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\DEXEUSDT_1d.csv,1710,2021-07-23,2026-03-28,119,DeXe
asset_TWT,2888,21872.341222580057,97.77931237705941,-33.45815502995442,1.488827770110133,1.9502508508228054,42.03601108033241,8.310249307479225,49.16897506925208,0.48476454293628807,846,1223.517513648492,63.662320688979015,-33.45815502995444,1109.487717427904,115.61944264674197,-27.625570302907366,149.9093451554409,108.94027003726592,-20.80923724935961,TWT,14,-3.127757366357983,0.0,-3.918917787382405,-7.899321140959131,0.0,-15.157754421212914,-9.858122034397478,-14.782564104729552,-18.453072878024997,0.0,-57.97877339790139,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\TWTUSDT_1d.csv,1887,2021-01-27,2026-03-28,180,Trust Wallet
asset_DASH,2888,22171.80283855721,98.11820936649174,-35.45551023316007,1.4943762126446394,1.9731203392107965,42.1398891966759,8.206371191135734,48.995844875346265,0.6578947368421052,835,1241.55576862534,64.08543033199628,-35.45551023316005,1117.0164722862974,116.0322512082954,-25.866176348777394,149.9093451554409,108.94027003726592,-20.80923724935961,DASH,19,-2.788860376925655,-1.9973552032056503,-3.4958081443651423,-7.486512579405698,0.0,-14.818857431780586,-11.855477237603129,-14.35945446171229,-18.040264316471564,0.0,-58.01267240728559,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\DASHUSDT_1d.csv,2558,2019-03-28,2026-03-28,108,Dash
asset_LUNC,2888,21877.978268296254,97.78572891049512,-33.45815502995442,1.4878168567679517,1.964531635290916,42.001385041551245,8.414127423822714,49.16897506925208,0.41551246537396125,842,1223.8570645709422,63.670328250686794,-33.45815502995444,1100.9607742109272,115.14975010351058,-31.04790223326678,149.9093451554409,108.94027003726592,-20.80923724935961,LUNC,12,-3.1213408329222716,0.0,-3.910910225674627,-8.36901368419052,0.0,-15.151337887777203,-9.858122034397478,-14.774556543021774,-18.922765421256386,0.0,-58.91174195092846,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\LUNCUSDT_1d.csv,1297,2022-09-09,2026-03-28,166,Terra Luna Classic
asset_ARB,2888,21772.495436965826,97.66542099782957,-33.45815502995442,1.4926036310375606,1.9654270170169954,42.1398891966759,8.310249307479225,49.445983379501385,0.10387811634349031,845,1217.5032412236342,63.52021104207679,-33.45815502995444,1095.1967889510424,114.83094220238547,-25.866176348777348,149.9093451554409,108.94027003726592,-20.80923724935961,ARB,3,-3.241648745587824,0.0,-4.061027434284632,-8.687821585315632,0.0,-15.271645800442755,-9.858122034397478,-14.92467375163178,-19.241573322381498,0.0,-59.669665665844235,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\ARBUSDT_1d.csv,1102,2023-03-23,2026-03-28,94,Arbitrum
asset_CAKE,2888,21289.927995620994,97.10848361361315,-33.45815502995442,1.484653934887123,1.9486835414114274,42.10526315789473,8.414127423822714,49.37673130193906,0.10387811634349031,844,1188.4354940197045,62.825883493821834,-33.45815502995444,1068.8274586654418,113.35872620317615,-31.611121138182654,149.9093451554409,108.94027003726592,-20.80923724935961,CAKE,3,-3.7985861298042494,0.0,-4.755354982539586,-10.160037584524957,0.0,-15.82858318465918,-9.858122034397478,-15.619001299886733,-20.713789321590824,0.0,-63.17103504847931,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\CAKEUSDT_1d.csv,1864,2021-02-19,2026-03-28,103,PancakeSwap
asset_INJ,2888,21617.509831597028,97.4877302853554,-38.47668789879782,1.4779026406514557,1.9421867622257005,42.07063711911358,8.206371191135734,48.995844875346265,0.7271468144044322,841,1208.1675877768248,63.298577917759815,-38.47668789879782,1086.727782823951,114.36058357820525,-36.73034771070115,149.9093451554409,108.94027003726592,-20.80923724935961,INJ,21,-3.419339458061998,-5.018532868843401,-4.282660558601606,-9.158180209495853,0.0,-15.449336512916929,-14.87665490324088,-15.146306875948753,-19.71193194656172,0.0,-63.7991933479849,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\INJUSDT_1d.csv,1985,2020-10-21,2026-03-28,130,Injective
asset_QNT,2888,21036.616754694798,96.8117267874901,-33.45815502995442,1.4781765682990191,1.9519797472827345,42.10526315789473,8.414127423822714,48.75346260387812,0.7271468144044322,843,1173.177135323484,62.45632680045292,-33.45815502995444,1054.9855638239171,112.57671196151375,-32.61075945983028,150.61298479454587,109.41342665993817,-20.80923724935961,QNT,21,-4.095342955927293,0.0,-5.1249116759085,-10.942051826187353,0.4731566226722492,-16.125340010782224,-9.858122034397478,-15.988557993255647,-21.49580356325322,0.4731566226722492,-64.44037457958683,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\QNTUSDT_1d.csv,1704,2021-07-29,2026-03-28,65,Quant
asset_IOTA,2888,18306.908064849125,93.39968672622108,-43.91514655044728,1.4445334432292756,1.8200197996559635,42.1398891966759,8.206371191135734,49.134349030470915,0.5193905817174516,839,1065.7224179717584,59.747045413078496,-43.91514655044729,1143.5727296133973,117.47440194755487,-25.866176348777394,149.9093451554409,108.94027003726592,-20.80923724935961,IOTA,15,-7.507383017196318,-10.456991520492863,-7.834193063282925,-6.044361840146237,0.0,-19.53738007205125,-20.315113554890342,-18.69783938063007,-16.598113577212104,0.0,-64.92267535940967,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\IOTAUSDT_1d.csv,2644,2019-01-01,2026-03-28,150,IOTA
asset_DOT,2888,20946.114500818803,96.70494884919714,-33.81966896842199,1.4817447770036993,1.9449629567882987,42.1398891966759,8.310249307479225,49.16897506925208,0.3808864265927978,839,1167.7256762906873,62.32342351075795,-33.81966896842206,1050.0401746004002,112.29574467701649,-25.866176348777437,149.9093451554409,108.94027003726592,-20.80923724935961,DOT,11,-4.202120894220258,-0.3615139384675743,-5.2578149656034725,-11.223019110684618,0.0,-16.23211794907519,-10.219635972865053,-16.12146128295062,-21.776770847750484,0.0,-65.91744122829519,False,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\DOTUSDT_1d.csv,2049,2020-08-18,2026-03-28,43,Polkadot
