ts,main_selected,main_gross_exposure,main_strategy_ret,leader_selected,leader_gross_exposure,leader_strategy_ret,ret_diff_main_minus_leader,same_selection,main_in_market,leader_in_market,main_cash_leader_in,leader_cash_main_in
2025-06-22,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-23,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-24,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-25,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-26,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-27,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-28,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-29,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-06-30,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-07-01,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-07-02,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-07-03,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-07-04,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-07-05,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-07-06,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-07-07,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-07-08,CASH,0.0,0.0,CASH,0.0,0.0,0.0,True,False,False,False,False
2025-07-09,BTCUSDT,1.0,0.0414366059780826,BTCUSDT,1.0,0.0414366059780826,0.0,True,True,True,False,False
2025-07-10,BTCUSDT,1.0,0.0130821480906819,BTCUSDT,1.0,0.0130821480906819,0.0,True,True,True,False,False
2025-07-11,BTCUSDT,1.0,-0.0009160396795103,BTCUSDT,1.0,-0.0009160396795103,0.0,True,True,True,False,False
2025-07-12,BTCUSDT,1.0,0.0141938340998126,BTCUSDT,1.0,0.0141938340998126,0.0,True,True,True,False,False
2025-07-13,ETHUSDT,1.0,0.0109938022159937,ETHUSDT,1.0,0.0109938022159937,0.0,True,True,True,False,False
2025-07-14,ETHUSDT,1.0,0.0412361213424385,ETHUSDT,1.0,0.0412361213424385,0.0,True,True,True,False,False
2025-07-15,ETHUSDT,1.0,0.0744003135865183,ETHUSDT,1.0,0.0744003135865183,0.0,True,True,True,False,False
2025-07-16,ETHUSDT,1.0,0.0312990345113974,ETHUSDT,1.0,0.0312990345113974,0.0,True,True,True,False,False
2025-07-17,ETHUSDT,1.0,0.0201474314541527,ETHUSDT,1.0,0.0201474314541527,0.0,True,True,True,False,False
2025-07-18,ETHUSDT,1.0,0.0127124378333878,ETHUSDT,1.0,0.0127124378333878,0.0,True,True,True,False,False
2025-07-19,ETHUSDT,1.0,0.0458461975328576,ETHUSDT,1.0,0.0458461975328576,0.0,True,True,True,False,False
2025-07-20,ETHUSDT,1.0,0.0015013216421901,ETHUSDT,1.0,0.0015013216421901,0.0,True,True,True,False,False
2025-07-21,ETHUSDT,1.0,-0.0042845789710099,ETHUSDT,1.0,-0.0042845789710099,0.0,True,True,True,False,False
2025-07-22,ETHUSDT,1.0,-0.0314771462357956,ETHUSDT,1.0,-0.0314771462357956,0.0,True,True,True,False,False
2025-07-23,ETHUSDT,1.0,0.0216768780885761,ETHUSDT,1.0,0.0216768780885761,0.0,True,True,True,False,False
2025-07-24,ETHUSDT,1.0,0.0048611523250983,ETHUSDT,1.0,0.0048611523250983,0.0,True,True,True,False,False
2025-07-25,ETHUSDT,1.0,0.0043329324341736,ETHUSDT,1.0,0.0043329324341736,0.0,True,True,True,False,False
2025-07-26,ETHUSDT,1.0,0.0350164390152629,ETHUSDT,1.0,0.0350164390152629,0.0,True,True,True,False,False
2025-07-27,ETHUSDT,1.0,-0.0188786446631027,ETHUSDT,1.0,-0.0188786446631027,0.0,True,True,True,False,False
2025-07-28,ETHUSDT,1.0,-0.0013714135298762,ETHUSDT,1.0,-0.0013714135298762,0.0,True,True,True,False,False
2025-07-29,ETHUSDT,1.0,0.0042727720827984,ETHUSDT,1.0,0.0042727720827984,0.0,True,True,True,False,False
2025-07-30,ETHUSDT,1.0,-0.0292939632545932,ETHUSDT,1.0,-0.0292939632545932,0.0,True,True,True,False,False
2025-07-31,ETHUSDT,1.0,-0.056832838072783,ETHUSDT,1.0,-0.056832838072783,0.0,True,True,True,False,False
