strategy,cagr,mdd,sharpe,calmar,turnover,costs,fee,slippage,funding,trades,median_holding,profitable_folds,fold_count,worst_fold,without_best_day,without_three_trades,liquidations,total_log_growth
D_pruning,0.367461473476,0.483220753158,1.07766199065,0.760442243167,33.1128566098,0.133968803459,0.0298015709488,0.0662260560394,0.0379411764706,37,2,1,3,-0.264242566604,0.229443309948,-0.0532732164361,0,0.699170877143
E_exposure_125,0.408817134749,0.571507442031,1.03861622502,0.715331253249,38.8836775071,0.158204064381,0.0349953097564,0.0777675781544,0.0454411764706,37,2,1,3,-0.323940829863,0.237774103588,-0.0844836951873,0,0.765734044292
E_persistence_bridge,0.418060044338,0.565201459178,1.05275236443,0.739665543232,39.568613225,0.163499225764,0.0356117519025,0.0791374738612,0.04875,38,2,1,3,-0.313991491292,0.245894841084,-0.0784772134203,0,0.780343473305
F_ETF_no_cooldown,0.376430023026,0.547300919119,0.968553699145,0.687793515187,49.5771152725,0.209582794544,0.0446194037453,0.0991545672698,0.0658088235294,60,3,1,3,-0.285748703799,0.209319077601,-0.105530379045,0,0.71377537921
G_current,0.362834462382,0.580826089478,0.948305773719,0.624686922567,45.9313494233,0.192098232604,0.041338214481,0.0918629592999,0.0588970588235,52,2,1,3,-0.33864343541,0.197374139913,-0.114365420254,0,0.691598693053
H_replace_selector,-0.189483225966,0.697230339291,-0.265048564845,-0.271765606411,51.9901708558,0.222978192021,0.0467911537702,0.103981155897,0.0722058823529,57,3,1,3,-0.393964025741,-0.273045621885,-0.436587569618,0,-0.469344080939
I_slow_hysteresis,-0.139223662317,0.593577344264,-0.457474864942,-0.234550162102,26.252801884,0.118118856595,0.0236275216956,0.052506040782,0.0419852941176,38,3.5,1,3,-0.290316389326,-0.1691139914,-0.252115514043,0,-0.33493550232
phase2_vol_adjusted,0.0253547573792,0.337381343716,0.241294692955,0.0751516284212,18.0418536246,0.150983953641,0.0162376682621,0.0360841508058,0.0986621345734,20,25,2,3,-0.0156676872275,-0.0350402801311,-0.139656262308,0,0.0559385201797
phase2_regime_allocation,-0.16416610489,0.524231036779,-0.332002948495,-0.313156019717,14.891389312,0.143129540728,0.0134022503808,0.0297830492148,0.0999442411322,15,30,0,3,-0.246247859654,-0.208868750239,-0.316285071645,0,-0.400628354744
phase2_slow_hysteresis,-0.0915905714406,0.389144268795,-0.118412591194,-0.235364050778,17.3110617563,0.138623304053,0.0155799555806,0.0346223766777,0.0884209717946,19,21,1,3,-0.120145392149,-0.140174751569,-0.229682777816,0,-0.214606524388
