date,mechanism_family,event_kind,family_logic_label,selected_for_family,vetoed_by_family,mechanism_signal,forward_baseline_return_h3,pre_mean_abs_base_ret,pre_abs_range,trend_accel,trend_build,trend_gate_pass,stress_active,trend_block,stress_block,leverage_eligible,target_leverage,baseline_regime_on_event,baseline_asset_on_event,overlay_trend_score,overlay_equity_curve
2023-06-10,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,0,1,0.33333333333333337,0.0,0.0323848831692269,0.061288262885511396,0.0,0.011408008057654295,0,1,0,0,0,1.0,BASE,,-0.8946612948951919,108.28752576307119
2023-06-18,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1.0,BASE,,-0.8946612948951919,108.28752576307119
2023-06-24,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1.0,BASE,,-0.8946612948951919,108.28752576307119
2023-06-25,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1.0,BASE,,-0.8946612948951919,108.28752576307119
2023-07-01,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.0059050085169964905,0.0,0.0,-0.1253243545934618,0.03733580117580948,0,0,0,0,0,1.0,BASE,,-0.7651326501731891,106.4011279110228
2023-07-02,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.6666666666666667,-0.0036652804011358953,0.005806756406937567,0.0174202692208127,0.2278992845631581,0.14959814543086347,0,0,0,0,0,1.0,BTC,,-0.537233365610031,106.5094218344277
2023-07-08,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,0,1,0.33333333333333337,0.011143276308807737,0.014503524438773466,0.011470519592185402,0.0,0.0,0,0,0,0,0,1.0,BTC,,-0.2122814764593757,105.3530806799211
2023-07-09,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.0072707174333763724,0.012328053013934267,0.017996933866703,0.0,0.0,0,0,0,0,0,1.0,BTC,,-0.2122814764593757,104.92199224470312
2023-07-15,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,0,1,0.33333333333333337,0.002344182337956857,0.026526515911272298,0.028407662010421497,-0.1032982766997731,-0.2061474640877989,0,0,0,0,0,1.0,BTC,,-0.4184289405471746,105.37009183589447
2023-11-09,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,1,0,0.5,0.009891804303359786,0.005807814340595133,0.0090962094063698,0.1371127010725873,0.4102078592387602,0,0,1,0,0,1.0,BTC,,0.0165471803880547,126.22346331346537
2023-11-22,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,0,1,0.33333333333333337,0.023413479988921626,0.0232058278026625,0.043205636124612104,0.44573933059501303,0.4369987396543392,0,0,1,0,0,1.0,CANDIDATE,ICP,0.031075574652458,128.65585822131274
2023-12-03,participation_divergence_instability_filter,tradable_transition+asset_transition,participation_divergence_instability_filter,1,0,0.5,0.0774719762470768,0.017350041399191267,0.0126191011591621,0.3463008838230605,0.6582818787884657,0,0,0,0,0,1.0,CANDIDATE,ICP,-0.0801663614142817,123.54975026982991
