start_ts,end_ts,selected_mode,bars,days,sum_selected_ret_next,sum_best_available_next,sum_leader_gap_ret,compound_selected_ret_next,compound_best_available_next,compound_gap_approx,pain_bars_gt_2pct_gap,turnover_sum,cost_sum
2020-07-22,2020-07-28,ETHUSDT,7,7,0.19223719288363983,0.5344844661599644,0.34224727327632454,0.20463335102752733,0.6619970575284351,0.45736370650090774,4,0.0,0.0
2020-12-23,2020-12-24,BTCUSDT,2,2,0.06280523493705625,0.449747754398067,0.38694251946101077,0.06369066783283617,0.4946836105040646,0.43099294267122845,2,0.0,0.0
2020-11-27,2020-12-02,BTCUSDT,6,6,0.13067196515060653,0.4122466021315444,0.2815746369809379,0.1331647560725151,0.47543725463129416,0.34227249855877906,5,1.0,0.0015
2020-12-26,2020-12-28,BTCUSDT,3,3,0.03364701962158623,0.33315740448217124,0.299510384860585,0.033654054841604,0.3707332263617831,0.3370791715201791,3,0.0,0.0
2020-06-24,2020-06-30,ETHUSDT,7,7,-0.013987280540999625,0.28342002256024856,0.2974073031012482,-0.015303947480603819,0.3081974602401245,0.32350140772072833,6,1.0,0.0015
2024-02-17,2024-02-23,ETHUSDT,7,7,-0.044546145365237044,0.2384487340352348,0.28299487940047185,-0.0445744082066305,0.26259397381827965,0.30716838202491015,5,2.0,0.003
2023-04-22,2023-04-30,BTCUSDT,9,9,0.004663683434250054,0.270852530855368,0.2661888474211179,0.0026640755841240704,0.3046248871309345,0.3019608115468104,5,3.0,0.0045000000000000005
2019-04-16,2019-04-19,BTCUSDT,4,4,0.022645424050284246,0.29024660513843803,0.2676011810881538,0.022809506505957033,0.3187720794611286,0.2959625729551716,3,1.0,0.0015
2025-01-18,2025-01-25,BTCUSDT,8,8,-0.016939633404412624,0.24862946794492968,0.2655691013493423,-0.018518552170444402,0.27546420473336997,0.29398275690381437,6,2.0,0.003
2025-07-24,2025-08-01,ETHUSDT,9,9,-0.08491609677465539,0.19401861994173675,0.27893471671639214,-0.08443621963128634,0.20881540401014398,0.2932516236414303,7,0.0,0.0
2024-01-25,2024-01-29,TRXUSDT,5,5,-9.147050065116957e-05,0.24388439062109812,0.2439758611217493,-0.0005351409204423785,0.26808887585964114,0.2686240167800835,5,0.0,0.0
2024-02-11,2024-02-15,LINKUSDT,5,5,-0.02989890401233697,0.21660277706265307,0.24650168107499004,-0.030481887881147807,0.2348009329519043,0.2652828208330521,5,4.0,0.006
2020-02-12,2020-02-15,ETHUSDT,4,4,-0.0214180678646817,0.22436992732033612,0.24578799518501782,-0.025927598404455465,0.23586775139560823,0.2617953498000637,4,1.0,0.0015
2019-04-05,2019-04-07,BNBUSDT,3,3,-0.07286719175392598,0.17766875378538338,0.25053594553930936,-0.07167311277154975,0.18795258705642626,0.259625699827976,3,1.0,0.0015
2025-01-27,2025-01-30,BNBUSDT,4,4,-0.029399944114884558,0.2100086436297961,0.23940858774468066,-0.02966545077071181,0.2227322177322988,0.2523976685030106,4,2.0,0.003
2021-08-23,2021-08-23,BNBUSDT,1,1,-0.05498336873321841,0.19424770187939977,0.24923107061261818,-0.05498336873321841,0.19424770187939977,0.24923107061261818,1,1.0,0.0015
2020-11-05,2020-11-10,BTCUSDT,6,6,0.008577161490716412,0.2263582249692082,0.2177810634784918,0.006043609950468376,0.23993371870590607,0.2338901087554377,3,0.0,0.0
2019-03-25,2019-03-28,LTCUSDT,4,4,0.014069681913105425,0.22849542281953616,0.21442574090643074,0.01297318867497621,0.24630845714565552,0.2333352684706793,3,3.0,0.0045000000000000005
2023-04-14,2023-04-18,ETHUSDT,5,5,-0.07861328532258771,0.14193941891597894,0.22055270423856665,-0.07917180558002646,0.14821670233421025,0.2273885079142367,5,0.0,0.0
2025-07-09,2025-07-14,BTCUSDT,6,6,0.12452647204749934,0.30605873261389416,0.18153226056639482,0.1303424878013797,0.34521938940956365,0.21487690160818396,4,3.0,0.0045000000000000005
2023-05-27,2023-05-31,TRXUSDT,5,5,-0.031177798662531564,0.1577933418009806,0.18897114046351215,-0.030974598237428652,0.1668078794201251,0.19778247765755375,4,1.0,0.0015
2019-03-31,2019-04-01,BNBUSDT,2,2,0.1221397171103824,0.3081098953525465,0.1859701782421641,0.12418460906851547,0.3183669407769376,0.19418233170842214,1,0.0,0.0
2025-02-19,2025-02-23,BTCUSDT,5,5,-0.05249164253756666,0.12212495767624687,0.17461660021381353,-0.052682737752856035,0.1255983088978989,0.17828104665075495,5,1.0,0.0015
2023-04-10,2023-04-12,BTCUSDT,3,3,0.024909407765219327,0.18613878199357115,0.16122937422835182,0.024850408302499405,0.1967306598402232,0.1718802515377238,3,0.0,0.0
2023-02-01,2023-02-04,LTCUSDT,4,4,-0.03707948922715576,0.12528693072478392,0.16236641995193968,-0.03687830160470462,0.13001688013879908,0.1668951817435037,4,0.0,0.0
2019-06-20,2019-06-23,BTCUSDT,4,4,0.13623325721085466,0.2672546939124134,0.13102143670155875,0.14257455546174658,0.29049381721478107,0.1479192617530345,2,3.0,0.0045000000000000005
2023-12-30,2024-01-01,BNBUSDT,3,3,-0.015408487861850673,0.12125778557514955,0.13666627343700022,-0.015452538631346546,0.12448929184537949,0.13994183047672604,3,0.0,0.0
2019-06-10,2019-06-11,BTCUSDT,2,2,0.018527744682753422,0.1491288401461326,0.13060109546337917,0.018150386771475846,0.15411625721316535,0.1359658704416895,2,1.0,0.0015
2025-09-23,2025-09-25,BNBUSDT,3,3,-0.04951873982477395,0.08161900291434687,0.13113774273912082,-0.05102491116335783,0.08201458460851474,0.13303949577187257,3,2.0,0.003
