variant,breakout_w,accel_w,near_high_w,hot_penalty_w,min_dv_rank_bonus,min_breadth_bonus,robust_score,median_window_sharpe,median_window_sortino,median_window_cagr_pct,median_window_return_pct,worst_window_dd_pct,positive_window_ratio,available_spike_days,captured_spike_days,spike_capture_ratio,avg_captured_spike_ret_pct,full_total_return_pct,full_cagr_pct,full_max_drawdown_pct,full_sharpe,full_sortino,full_trade_count
bw=0.15_aw=0.05_nh=0.1_hp=0.1_dv=0.5_br=0.55,0.15,0.05,0.1,0.1,0.5,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3557.95,58.0,-36.56,1.125,1.312,186
bw=0.15_aw=0.05_nh=0.1_hp=0.1_dv=0.3_br=0.55,0.15,0.05,0.1,0.1,0.3,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3539.66,57.9,-36.56,1.124,1.312,182
bw=0.1_aw=0.1_nh=0.1_hp=0.05_dv=0.5_br=0.55,0.1,0.1,0.1,0.05,0.5,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3529.33,57.85,-36.56,1.123,1.309,190
bw=0.1_aw=0.1_nh=0.1_hp=0.1_dv=0.5_br=0.55,0.1,0.1,0.1,0.1,0.5,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3529.33,57.85,-36.56,1.123,1.309,190
bw=0.15_aw=0.1_nh=0.05_hp=0.05_dv=0.3_br=0.35,0.15,0.1,0.05,0.05,0.3,0.35,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3541.66,57.91,-36.56,1.122,1.314,178
bw=0.15_aw=0.1_nh=0.05_hp=0.1_dv=0.3_br=0.35,0.15,0.1,0.05,0.1,0.3,0.35,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3541.66,57.91,-36.56,1.122,1.314,178
bw=0.15_aw=0.05_nh=0.1_hp=0.05_dv=0.3_br=0.35,0.15,0.05,0.1,0.05,0.3,0.35,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3538.2,57.9,-36.56,1.122,1.315,181
bw=0.1_aw=0.1_nh=0.1_hp=0.05_dv=0.3_br=0.55,0.1,0.1,0.1,0.05,0.3,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3511.19,57.75,-36.56,1.122,1.309,186
bw=0.1_aw=0.1_nh=0.1_hp=0.1_dv=0.3_br=0.55,0.1,0.1,0.1,0.1,0.3,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3511.19,57.75,-36.56,1.122,1.309,186
bw=0.1_aw=0.1_nh=0.05_hp=0.1_dv=0.5_br=0.35,0.1,0.1,0.05,0.1,0.5,0.35,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3522.02,57.81,-36.56,1.121,1.31,181
bw=0.15_aw=0.05_nh=0.1_hp=0.1_dv=0.5_br=0.35,0.15,0.05,0.1,0.1,0.5,0.35,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3522.45,57.81,-36.56,1.121,1.312,184
bw=0.15_aw=0.05_nh=0.1_hp=0.1_dv=0.3_br=0.35,0.15,0.05,0.1,0.1,0.3,0.35,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3482.41,57.59,-36.56,1.118,1.309,182
bw=0.15_aw=0.1_nh=0.1_hp=0.05_dv=0.5_br=0.35,0.15,0.1,0.1,0.05,0.5,0.35,1.4,0.75,0.349,20.01,9.23,-28.79,0.625,444,13,0.029,19.74,3193.41,55.91,-36.56,1.098,1.283,187
bw=0.15_aw=0.1_nh=0.1_hp=0.05_dv=0.5_br=0.55,0.15,0.1,0.1,0.05,0.5,0.55,1.4,0.75,0.349,20.01,9.23,-28.79,0.625,444,13,0.029,19.74,3169.93,55.77,-36.56,1.098,1.279,190
bw=0.15_aw=0.1_nh=0.1_hp=0.05_dv=0.3_br=0.55,0.15,0.1,0.1,0.05,0.3,0.55,1.4,0.75,0.349,20.01,9.23,-28.79,0.625,444,13,0.029,19.74,3153.58,55.67,-36.56,1.096,1.279,186
bw=0.15_aw=0.1_nh=0.1_hp=0.05_dv=0.3_br=0.35,0.15,0.1,0.1,0.05,0.3,0.35,1.4,0.75,0.349,20.01,9.23,-28.79,0.625,444,13,0.029,19.74,3157.01,55.69,-36.56,1.095,1.28,185
bw=0.15_aw=0.1_nh=0.1_hp=0.1_dv=0.5_br=0.35,0.15,0.1,0.1,0.1,0.5,0.35,1.4,0.75,0.349,20.01,9.23,-28.79,0.625,444,13,0.029,19.74,3142.91,55.6,-36.56,1.094,1.278,188
bw=0.15_aw=0.1_nh=0.1_hp=0.1_dv=0.5_br=0.55,0.15,0.1,0.1,0.1,0.5,0.55,1.4,0.75,0.349,20.01,9.23,-28.79,0.625,444,13,0.029,19.74,3119.79,55.46,-36.56,1.094,1.274,191
bw=0.15_aw=0.1_nh=0.1_hp=0.1_dv=0.3_br=0.55,0.15,0.1,0.1,0.1,0.3,0.55,1.4,0.75,0.349,20.01,9.23,-28.79,0.625,444,13,0.029,19.74,3103.69,55.36,-36.56,1.092,1.273,187
bw=0.15_aw=0.1_nh=0.1_hp=0.1_dv=0.3_br=0.35,0.15,0.1,0.1,0.1,0.3,0.35,1.4,0.75,0.349,20.01,9.23,-28.79,0.625,444,13,0.029,19.74,3107.06,55.38,-36.56,1.091,1.275,186
