ts,selected,n_selected,gross_exposure,raw_strategy_ret,turnover,cost,strategy_ret,selected_ret_next,best_available_next,captured_spike_day,available_spike_day,equity
2020-10-03,BTCUSDT,1,1.0,0.011816476096702111,0.0,0.0,0.011816476096702111,0.011816476096702111,0.06535470287457579,0,0,2.9278041735818663
2020-10-04,BTCUSDT,1,1.0,0.011773165470256197,0.0,0.0,0.011773165470256197,0.011773165470256197,0.023998637167010894,0,0,2.9622736965819523
2020-10-05,CASH,0,0.0,0.0,1.0,0.0015,-0.0015,0.0,-0.007552870090634434,0,0,2.9578302860370793
2020-10-06,CASH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02406231112226176,0,0,2.9578302860370793
2020-10-07,CASH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0645330126170669,0,0,2.9578302860370793
2020-10-08,CASH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08750549197648372,0,0,2.9578302860370793
2020-10-09,CASH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.035936420179681905,0,0,2.9578302860370793
2020-10-10,CASH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03273322422258573,0,0,2.9578302860370793
2020-10-11,BNBUSDT,1,1.0,0.07442747422626206,1.0,0.0015,0.07292747422626206,0.07442747422626206,0.07442747422626206,0,0,3.1735373779877056
2020-10-12,BNBUSDT,1,1.0,0.002456745937233773,0.0,0.0,0.002456745937233773,0.002456745937233773,0.002456745937233773,0,0,3.1813339530477363
2020-10-13,BNBUSDT,1,1.0,0.0036581873096050987,0.0,0.0,0.0036581873096050987,0.0036581873096050987,0.0036581873096050987,0,0,3.1929718685423913
2020-10-14,BNBUSDT,1,1.0,0.015811660937804062,0.0,0.0,0.015811660937804062,0.015811660937804062,0.015811660937804062,0,0,3.2434580571117304
2020-10-15,BNBUSDT,1,1.0,-0.04066961207446951,0.0,0.0,-0.04066961207446951,-0.04066961207446951,0.003352213616922839,0,0,3.1115478761491837
2020-10-16,BNBUSDT,1,1.0,0.006315803484672866,0.0,0.0,0.006315803484672866,0.006315803484672866,0.017668523141924464,0,0,3.1311998010680933
2020-10-17,BNBUSDT,1,1.0,0.013818804684968322,0.0,0.0,0.013818804684968322,0.013818804684968322,0.029567033980445467,0,0,3.174469239548665
2020-10-18,BNBUSDT,1,1.0,-0.024416734889576852,0.0,0.0,-0.024416734889576852,-0.024416734889576852,0.021588018575797507,0,0,3.0969590657114887
