model,overlay_mode,breadth_threshold,kill_multiplier,cooldown_days,kill_days_pct,start_date,end_date,days,years,start_equity,end_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,active_day_fraction,score
phase20_breadth_2d_weak,breadth_2d_weak,0.4,0.5,0.0,44.38342486270594,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,27.101073122406355,2610.1073122406356,82.57349093157056,-19.67542184506795,1.5316534245665034,2.371783006981181,0.29955067398901647,61.289430886691896
phase20_breadth_3d_weak,breadth_3d_weak,0.6,0.25,0.0,57.114328507239144,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,24.683145158946274,2368.314515894627,79.48704505292004,-17.58020987039195,1.5485130752268519,2.6850706340411565,0.29955067398901647,61.25922968807571
phase20_btc_3d_neg,btc_3d_neg,0.35,0.25,1.0,61.25811283075387,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,13.23452994760863,1223.452994760863,60.194415170410174,-14.860713378008272,1.7823290811690329,2.212452437533696,0.29955067398901647,61.16805832546689
phase20_btc_3d_neg,btc_3d_neg,0.4,0.25,1.0,61.25811283075387,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,13.23452994760863,1223.452994760863,60.194415170410174,-14.860713378008272,1.7823290811690329,2.212452437533696,0.29955067398901647,61.16805832546689
phase20_btc_3d_neg,btc_3d_neg,0.5,0.25,1.0,61.25811283075387,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,13.23452994760863,1223.452994760863,60.194415170410174,-14.860713378008272,1.7823290811690329,2.212452437533696,0.29955067398901647,61.16805832546689
phase20_btc_3d_neg,btc_3d_neg,0.6,0.25,1.0,61.25811283075387,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,13.23452994760863,1223.452994760863,60.194415170410174,-14.860713378008272,1.7823290811690329,2.212452437533696,0.29955067398901647,61.16805832546689
phase20_combo_any_2d,combo_any_2d,0.35,0.5,0.0,53.66949575636545,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,18.263417728228838,1726.3417728228837,69.88938965333593,-19.10195252718132,1.6949455849050898,2.0733954162345607,0.29955067398901647,61.10434024314042
phase20_combo_any_2d,combo_any_2d,0.4,0.5,0.0,53.66949575636545,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,18.263417728228838,1726.3417728228837,69.88938965333593,-19.10195252718132,1.6949455849050898,2.0733954162345607,0.29955067398901647,61.10434024314042
phase20_combo_mixed,combo_mixed,0.35,0.25,1.0,50.52421367948078,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,25.28546655549447,2428.5466555494468,80.2782641810436,-19.058412745499453,1.545170924541662,2.6245824601847922,0.29955067398901647,61.009141753256976
phase20_combo_mixed,combo_mixed,0.4,0.25,1.0,50.52421367948078,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,25.28546655549447,2428.5466555494468,80.2782641810436,-19.058412745499453,1.545170924541662,2.6245824601847922,0.29955067398901647,61.009141753256976
phase20_breadth_2d_weak,breadth_2d_weak,0.6,0.5,0.0,56.61507738392412,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,25.48230982359498,2448.2309823594983,80.53349985167245,-18.815691311269056,1.5382241114743436,2.694995234549097,0.29955067398901647,60.997620341563234
phase20_combo_any_2d,combo_any_2d,0.5,0.5,0.0,56.21567648527209,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,17.87079131980982,1687.0791319809819,69.21712579484074,-19.101952527181286,1.6901744619663475,2.0701555978702175,0.29955067398901647,60.74976981919857
phase20_combo_all_3d,combo_all_3d,0.6,0.0,1.0,57.363954068896646,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,26.336906028020916,2533.6906028020917,81.623260038982,-25.842984609967946,1.5963419408333486,2.1707079750481393,0.1567648527209186,60.72379415148702
phase20_breadth_3d_weak,breadth_3d_weak,0.5,0.5,0.0,47.179231153270095,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,26.19011955371498,2519.011955371498,81.43815826776657,-18.81157448048626,1.5120067927865353,2.380511654856215,0.29955067398901647,60.6600528692358
phase20_breadth_2d_weak,breadth_2d_weak,0.5,0.5,0.0,49.076385421867194,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,24.887773808582896,2388.7773808582897,79.7576017632474,-19.508483352335794,1.5055947641298073,2.3266723790503514,0.29955067398901647,59.70248471468103
phase20_combo_all_2d,combo_all_2d,0.35,0.0,2.0,66.55017473789316,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,21.501840912256117,2050.1840912256116,75.02507171489398,-17.58020987039194,1.5392166967201508,1.8331479740718573,0.13330004992511232,59.46512955709909
phase20_combo_all_2d,combo_all_2d,0.4,0.0,2.0,66.55017473789316,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,21.501840912256117,2050.1840912256116,75.02507171489398,-17.58020987039194,1.5392166967201508,1.8331479740718573,0.13330004992511232,59.46512955709909
phase20_combo_mixed,combo_mixed,0.5,0.25,1.0,53.020469296055914,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,24.854938279769044,2385.4938279769044,79.71430995477785,-23.890302145042742,1.5448132465031525,2.6092675329932074,0.29955067398901647,59.35324900323823
phase20_combo_all_3d,combo_all_3d,0.35,0.25,1.0,50.52421367948078,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,23.640813934415608,2264.081393441561,78.07972890645163,-19.33082095526616,1.511394497875774,2.4519600836659143,0.29955067398901647,59.313521277572576
phase20_combo_all_3d,combo_all_3d,0.4,0.25,1.0,50.52421367948078,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,23.640813934415608,2264.081393441561,78.07972890645163,-19.33082095526616,1.511394497875774,2.4519600836659143,0.29955067398901647,59.313521277572576
phase20_combo_mixed,combo_mixed,0.6,0.0,1.0,57.064403394907636,2020-09-22,2026-03-17,2002,5.4811772758384665,1.0,24.10717964678518,2310.717964678518,78.71554289652403,-23.840129552408406,1.5524756233626515,2.0556228160120624,0.15726410384423364,59.21029173212718
