ts,date,selected,gross_exposure,strategy_ret,kill_day,overlay_multiplier,final_ret,final_gross_exposure,final_equity
2018-08-30 08:00:00,2018-08-30,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-30 12:00:00,2018-08-30,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-30 16:00:00,2018-08-30,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-30 20:00:00,2018-08-30,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-31 00:00:00,2018-08-31,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-31 04:00:00,2018-08-31,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-31 08:00:00,2018-08-31,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-31 12:00:00,2018-08-31,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-31 16:00:00,2018-08-31,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-08-31 20:00:00,2018-08-31,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-01 00:00:00,2018-09-01,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-01 04:00:00,2018-09-01,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-01 08:00:00,2018-09-01,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-01 12:00:00,2018-09-01,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-01 16:00:00,2018-09-01,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-01 20:00:00,2018-09-01,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-02 00:00:00,2018-09-02,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-02 04:00:00,2018-09-02,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-02 08:00:00,2018-09-02,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-02 12:00:00,2018-09-02,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-02 16:00:00,2018-09-02,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-02 20:00:00,2018-09-02,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-03 00:00:00,2018-09-03,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-03 04:00:00,2018-09-03,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-03 08:00:00,2018-09-03,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-03 12:00:00,2018-09-03,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-03 16:00:00,2018-09-03,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-03 20:00:00,2018-09-03,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-04 00:00:00,2018-09-04,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-04 04:00:00,2018-09-04,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-04 08:00:00,2018-09-04,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-04 12:00:00,2018-09-04,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-04 16:00:00,2018-09-04,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-04 20:00:00,2018-09-04,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-05 00:00:00,2018-09-05,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-05 04:00:00,2018-09-05,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-05 08:00:00,2018-09-05,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-05 12:00:00,2018-09-05,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-05 16:00:00,2018-09-05,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-05 20:00:00,2018-09-05,CASH,0.0,0.0,False,1.0,0.0,0.0,1.0
2018-09-06 00:00:00,2018-09-06,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-06 04:00:00,2018-09-06,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-06 08:00:00,2018-09-06,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-06 12:00:00,2018-09-06,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
2018-09-06 16:00:00,2018-09-06,CASH,0.0,0.0,True,1.0,0.0,0.0,1.0
