ts,market_score,n_selected,selected,raw_strategy_ret,turnover,cost,strategy_ret,equity
2025-04-22,-12.747164881569015,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-23,-12.143981429939378,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-24,-11.302244354417407,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-25,-10.531426203570756,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-26,-4.663817538896587,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-27,-4.868885123692396,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-28,-2.1656446567015712,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-29,-8.422996790711911,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-04-30,-7.120106724638148,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-05-01,-5.7998007377480665,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-05-02,-7.62331517048475,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-05-03,-7.954990793079801,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-05-04,-13.435459595586076,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-05-05,-10.806106064165716,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-05-06,-9.909632799900956,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-05-07,-12.052671063600027,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-05-08,3.801280753694114,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-05-09,6.031700108316189,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-05-10,11.990196525413026,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-05-11,7.154720771123886,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-05-12,7.1202531040166805,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-05-13,14.170225406848061,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-05-14,11.312911694707353,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-05-15,7.902376684308498,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-05-16,7.173072051432302,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-05-17,5.3270568231019135,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-05-18,10.925251746216391,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-05-19,9.423218330851851,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-05-20,9.983162952661838,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-05-21,13.264491102136674,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-05-22,18.4587026353476,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-05-23,9.317042501189919,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-05-24,11.945774604475222,0,,0.0,0.0,0.0,0.0,10.513003218035413
2025-05-25,12.913056112036728,1,BTCUSDT,0.003950306864350717,1.0,0.001,0.0029503068643507166,10.544019803594525
