ts,daily_selected,selected,gross_exposure,raw_strategy_ret,turnover,cost,strategy_ret,selected_ret_next,best_available_next,kill_day,equity
2024-12-03 04:00:00,TRXUSDT,TRXUSDT,1.0,0.05221588415971934,0.0,0.0,0.05221588415971934,0.05221588415971934,0.08385943561268738,1,8.413762989345173
2024-12-03 08:00:00,TRXUSDT,TRXUSDT,1.0,0.07798165137614665,0.0,0.0,0.07798165137614665,0.07798165137614665,0.07798165137614665,1,9.069882121541815
2024-12-03 12:00:00,TRXUSDT,TRXUSDT,1.0,0.18297872340425525,0.0,0.0,0.18297872340425525,0.18297872340425525,0.18297872340425525,1,10.729477573568614
2024-12-03 16:00:00,TRXUSDT,TRXUSDT,1.0,0.41726618705035956,0.0,0.0,0.41726618705035956,0.41726618705035956,0.41726618705035956,1,15.206525769733933
2024-12-03 20:00:00,TRXUSDT,TRXUSDT,1.0,-0.1026765113059529,0.0,0.0,-0.1026765113059529,-0.1026765113059529,0.02548186867036928,1,13.645172754613583
2024-12-04 00:00:00,ETHUSDT,ETHUSDT,0.5,0.0072628215631656,1.5,0.0022500000000000003,0.0050128215631656,0.0145256431263312,0.05030840400925207,1,13.713573570831029
2024-12-04 04:00:00,ETHUSDT,ETHUSDT,0.5,0.0018977170867217064,0.0,0.0,0.0018977170867217064,0.0037954341734434127,0.09366912203862232,1,13.739598053716408
2024-12-04 08:00:00,ETHUSDT,ETHUSDT,0.5,0.012323381843827863,0.0,0.0,0.012323381843827863,0.024646763687655726,0.03170776933061381,1,13.908916366913072
2024-12-04 12:00:00,ETHUSDT,ETHUSDT,0.5,0.0026367443077728314,0.0,0.0,0.0026367443077728314,0.005273488615545663,0.015320523807479614,1,13.945590622970819
2024-12-04 16:00:00,ETHUSDT,ETHUSDT,1.0,-0.0008721346471759484,0.5,0.00075,-0.0016221346471759484,-0.0008721346471759484,0.05617001106019903,1,13.922968997245965
2024-12-04 20:00:00,ETHUSDT,ETHUSDT,0.5,-0.0006696544895513634,0.5,0.00075,-0.0014196544895513634,-0.0013393089791027268,0.04439394437337363,1,13.90320319180114
2024-12-05 00:00:00,ETHUSDT,ETHUSDT,1.0,0.004779970046912663,0.5,0.00075,0.004029970046912663,0.004779970046912663,0.055011065444198426,0,13.959232684220238
2024-12-05 04:00:00,ETHUSDT,ETHUSDT,1.0,0.02077393286903595,0.0,0.0,0.02077393286903595,0.02077393286903595,0.06696741074900836,0,14.249220846905482
2024-12-05 08:00:00,ETHUSDT,ETHUSDT,1.0,-0.010933660308625304,0.0,0.0,-0.010933660308625304,-0.010933660308625304,0.04818486659862953,0,14.093424706502836
2024-12-05 12:00:00,ETHUSDT,ETHUSDT,1.0,-0.014709362139917692,0.0,0.0,-0.014709362139917692,-0.014709362139917692,-0.008166636080014666,0,13.886119418703222
2024-12-05 16:00:00,ETHUSDT,ETHUSDT,1.0,-0.011906098188111724,0.0,0.0,-0.011906098188111724,-0.011906098188111724,0.011884841463937867,0,13.720789917452297
2024-12-05 20:00:00,ETHUSDT,ETHUSDT,1.0,0.03218059811898977,0.0,0.0,0.03218059811898977,0.03218059811898977,0.037149028077754,0,14.162333143660916
2024-12-06 00:00:00,ETHUSDT,ETHUSDT,1.0,-0.0033938996828777324,0.0,0.0,-0.0033938996828777324,-0.0033938996828777324,0.02228250339081561,0,14.114267605695836
2024-12-06 04:00:00,ETHUSDT,ETHUSDT,1.0,-0.00686484751203853,0.0,0.0,-0.00686484751203853,-0.00686484751203853,-0.0007022725220896531,0,14.017375310838629
2024-12-06 08:00:00,ETHUSDT,ETHUSDT,1.0,0.03258322946351444,0.0,0.0,0.03258322946351444,0.03258322946351444,0.03795834050611124,0,14.474106667067886
2024-12-06 12:00:00,ETHUSDT,ETHUSDT,1.0,0.018682601138987565,0.0,0.0,0.018682601138987565,0.018682601138987565,0.047118216238956734,0,14.744520628771877
2024-12-06 16:00:00,ETHUSDT,ETHUSDT,1.0,-0.016901775485419046,0.0,0.0,-0.016901775485419046,-0.016901775485419046,0.039373242265970276,0,14.495312051464245
2024-12-06 20:00:00,ETHUSDT,ETHUSDT,1.0,-0.0030008477394863897,0.0,0.0,-0.0030008477394863897,-0.0030008477394863897,0.028218013142636167,0,14.451813827061459
2024-12-07 00:00:00,ETHUSDT,ETHUSDT,1.0,-0.0002508233275727578,0.0,0.0,-0.0002508233275727578,-0.0002508233275727578,0.032750588126758684,0,14.448188975027893
2024-12-07 04:00:00,ETHUSDT,ETHUSDT,1.0,0.0031185161583293652,0.0,0.0,0.0031185161583293652,0.0031185161583293652,0.014760147601476037,0,14.493245885805115
2024-12-07 08:00:00,ETHUSDT,ETHUSDT,1.0,0.0016031813520744898,0.0,0.0,0.0016031813520744898,0.0016031813520744898,0.04551627638997502,0,14.516481187340268
2024-12-07 12:00:00,ETHUSDT,ETHUSDT,1.0,0.0018678006647172563,0.0,0.0,0.0018678006647172563,0.0018678006647172563,0.02675001656689724,0,14.543595080551338
2024-12-07 16:00:00,ETHUSDT,ETHUSDT,1.0,-0.003980369822964569,0.0,0.0,-0.003980369822964569,-0.003980369822964569,0.03781612851916649,0,14.485706193575295
2024-12-07 20:00:00,ETHUSDT,ETHUSDT,1.0,-0.0017366411258638026,0.0,0.0,-0.0017366411258638026,-0.0017366411258638026,0.03425277710297925,0,14.460549720462351
2024-12-08 00:00:00,ETHUSDT,ETHUSDT,1.0,-0.0021758312276902725,0.0,0.0,-0.0021758312276902725,-0.0021758312276902725,0.021362353889560648,0,14.429086004811001
2024-12-08 04:00:00,ETHUSDT,ETHUSDT,1.0,-0.0022006732653367944,0.0,0.0,-0.0022006732653367944,-0.0022006732653367944,0.05051302288871362,0,14.397332300996968
2024-12-08 08:00:00,ETHUSDT,ETHUSDT,1.0,0.0047710884627778505,0.0,0.0,0.0047710884627778505,0.0047710884627778505,0.014768752429071164,0,14.466023247033034
2024-12-08 12:00:00,ETHUSDT,ETHUSDT,1.0,-0.00020046156274822202,0.0,0.0,-0.00020046156274822202,-0.00020046156274822202,0.01558502892675806,0,14.463123365406181
2024-12-08 16:00:00,ETHUSDT,ETHUSDT,1.0,0.0035488810748900423,0.0,0.0,0.0035488810748900423,0.0035488810748900423,0.02215489490626754,0,14.514451270201471
2024-12-08 20:00:00,ETHUSDT,ETHUSDT,1.0,-0.018675624040058514,0.0,0.0,-0.018675624040058514,-0.018675624040058514,0.020314296665389087,0,14.243384835131438
2024-12-09 00:00:00,ETHUSDT,ETHUSDT,1.0,-0.002781616391431707,0.0,0.0,-0.002781616391431707,-0.002781616391431707,0.004901260298126431,0,14.203765202404567
2024-12-09 04:00:00,ETHUSDT,ETHUSDT,1.0,-0.01724155531282856,0.0,0.0,-0.01724155531282856,-0.01724155531282856,-0.0067452221343214935,0,13.958870199016879
2024-12-09 08:00:00,ETHUSDT,ETHUSDT,1.0,-0.0069802227023434416,0.0,0.0,-0.0069802227023434416,-0.0069802227023434416,0.01124979471177534,0,13.861434176354635
2024-12-09 12:00:00,ETHUSDT,ETHUSDT,1.0,-0.007379707112970646,0.0,0.0,-0.007379707112970646,-0.007379707112970646,0.008710582520206067,0,13.759140851967416
2024-12-09 16:00:00,ETHUSDT,ETHUSDT,1.0,-0.022071879824436702,0.0,0.0,-0.022071879824436702,-0.022071879824436702,0.002123718145772946,0,13.455450748595293
2024-12-09 20:00:00,ETHUSDT,ETHUSDT,1.0,-0.007974137931034408,0.0,0.0,-0.007974137931034408,-0.007974137931034408,-0.003541246922302954,0,13.348155128401753
2024-12-10 00:00:00,ETHUSDT,ETHUSDT,0.5,0.007080979795785369,0.5,0.00075,0.0063309797957853695,0.014161959591570739,0.06753006475485646,1,13.432662028830674
2024-12-10 04:00:00,ETHUSDT,ETHUSDT,0.5,0.002083249655246311,0.0,0.0,0.002083249655246311,0.004166499310492622,0.034782608695652195,1,13.460645617371275
