ts,selected,market_score,best_symbol_raw,best_score_raw,prev_selected,prev_score_raw
2019-01-30,CASH,-45.479365888638036,CASH,,CASH,
2019-01-31,CASH,-47.26943910823727,CASH,,CASH,
2019-02-01,CASH,-45.03554071476637,CASH,,CASH,
2019-02-02,CASH,-42.3456343589151,CASH,,CASH,
2019-02-03,CASH,-43.891978617091674,CASH,,CASH,
2019-02-04,CASH,-42.376180754088836,CASH,,CASH,
2019-02-05,CASH,-39.18905376087043,CASH,,CASH,
2019-02-06,CASH,-41.165546983137354,CASH,,CASH,
2019-02-07,CASH,-41.612388410245295,CASH,,CASH,
2019-02-08,CASH,-28.39762558667501,CASH,,CASH,
2019-02-09,CASH,-24.231266618269853,CASH,,CASH,
2019-02-10,CASH,-19.96625142948771,CASH,,CASH,
2019-02-11,CASH,-22.880351617222527,CASH,,CASH,
2019-02-12,CASH,-21.14086403436976,CASH,,CASH,
2019-02-13,CASH,-22.722288051394912,CASH,,CASH,
2019-02-14,CASH,-21.917623711827574,CASH,,CASH,
2019-02-15,CASH,-18.1836557270959,CASH,,CASH,
2019-02-16,CASH,-16.662312583174636,CASH,,CASH,
2019-02-17,CASH,-10.160142781564558,CASH,,CASH,
2019-02-18,CASH,-1.2401824917594482,CASH,,CASH,
2019-02-19,CASH,-1.4828260514405909,CASH,,CASH,
2019-02-20,CASH,6.180747761606423,CASH,,CASH,
2019-02-21,CASH,1.0155313716962908,CASH,,CASH,
2019-02-22,CASH,2.965005948065297,CASH,,CASH,
2019-02-23,CASH,9.999139764307094,CASH,,CASH,
2019-02-24,CASH,-12.538904330213713,CASH,,CASH,
2019-02-25,CASH,-8.111634850075143,CASH,,CASH,
2019-02-26,CASH,-8.18827152080016,CASH,,CASH,
2019-02-27,CASH,-7.759684255993342,CASH,,CASH,
2019-02-28,CASH,-10.658760112450882,CASH,,CASH,
2019-03-01,CASH,-7.875889982801513,CASH,,CASH,
2019-03-02,CASH,-8.47151280954144,CASH,,CASH,
2019-03-03,CASH,-9.553332399297675,CASH,,CASH,
2019-03-04,CASH,-12.56956740686939,CASH,,CASH,
2019-03-05,CASH,-2.2955969650450934,CASH,,CASH,
2019-03-06,CASH,-1.3395757219406619,CASH,,CASH,
2019-03-07,CASH,-2.0410305447904444,CASH,,CASH,
2019-03-08,CASH,-5.822912562729172,CASH,,CASH,
2019-03-09,CASH,-1.744041449766058,CASH,,CASH,
2019-03-10,CASH,-4.526065201820368,CASH,,CASH,
2019-03-11,CASH,-5.713808723458264,CASH,,CASH,
2019-03-12,CASH,-3.9997099897839754,CASH,,CASH,
2019-03-13,CASH,-4.585329617314131,CASH,,CASH,
2019-03-14,CASH,-3.00711840958529,CASH,,CASH,
2019-03-15,CASH,2.1487993732665087,CASH,,CASH,
2019-03-16,CASH,9.63025777805956,CASH,,CASH,
2019-03-17,CASH,7.037325031665236,CASH,,CASH,
2019-03-18,CASH,7.355735332211019,CASH,,CASH,
2019-03-19,CASH,9.174340610447562,CASH,,CASH,
2019-03-20,CASH,11.413103402018308,CASH,,CASH,
2019-03-21,CASH,5.980691138887629,CASH,,CASH,
2019-03-22,CASH,9.312884428861555,CASH,,CASH,
2019-03-23,CASH,14.591437289962428,CASH,,CASH,
2019-03-24,CASH,13.045676898828697,CASH,,CASH,
2019-03-25,LTCUSDT,7.5585197975195095,LTCUSDT,95.39379725572871,CASH,
