date,model_index,btc_index,model_authorized_exposure_x,model_authorized_return_net,model_authorized_return_gross,model_transition_cost,model_asset_transition_day
2025-03-02,9.816143163038245,8.859845583693637,0.0,0.0,0.0,0.0,False
2025-03-03,9.816143163038245,9.704549104385423,0.0,0.0,0.0,0.0,False
2025-03-04,9.816143163038245,8.875968704961911,0.0,0.0,0.0,0.0,False
2025-03-05,9.816143163038245,8.985173975705168,0.0,0.0,0.0,0.0,False
2025-03-06,9.816143163038245,9.327362569487338,0.0,0.0,0.0,0.0,False
2025-03-07,9.816143163038245,9.257965822524193,0.0,0.0,0.0,0.0,False
2025-03-08,9.816143163038245,8.935736051060326,0.0,0.0,0.0,0.0,False
2025-03-09,9.816143163038245,8.876102532427424,0.0,0.0,0.0,0.0,False
2025-03-10,9.816143163038245,8.311146798435248,0.0,0.0,0.0,0.0,False
2025-03-11,9.816143163038245,8.090988264360716,0.0,0.0,0.0,0.0,False
2025-03-12,9.816143163038245,8.537470660901791,0.0,0.0,0.0,0.0,False
2025-03-13,9.816143163038245,8.614383364216595,0.0,0.0,0.0,0.0,False
2025-03-14,9.816143163038245,8.350399423512457,0.0,0.0,0.0,0.0,False
2025-03-15,9.816143163038245,8.645582664196006,0.0,0.0,0.0,0.0,False
2025-03-16,9.816143163038245,8.682153592752728,0.0,0.0,0.0,0.0,False
2025-03-17,9.816143163038245,8.500568252007412,0.0,0.0,0.0,0.0,False
2025-03-18,9.816143163038245,8.6483446571958,0.0,0.0,0.0,0.0,False
2025-03-19,9.816143163038245,8.515032942145357,0.0,0.0,0.0,0.0,False
2025-03-20,9.816143163038245,8.940285155445748,0.0,0.0,0.0,0.0,False
2025-03-21,9.816143163038245,8.670308832612724,0.0,0.0,0.0,0.0,False
2025-03-22,9.799710878850144,8.656453572163887,0.5,-0.0016740061666963143,-0.0007990061666963144,0.000725,True
2025-03-23,9.792605547637375,8.630902820671196,0.0,-0.0007250551879140537,0.0,0.0007250551879140537,True
2025-03-24,9.792605547637375,8.861694461601811,0.0,0.0,0.0,0.0,False
2025-03-25,9.792605547637375,9.007428453778052,0.0,0.0,0.0,0.0,False
2025-03-26,9.792605547637375,8.996590487955528,0.0,0.0,0.0,0.0,False
2025-03-27,9.792605547637375,8.946795346921968,0.0,0.0,0.0,0.0,False
2025-03-28,9.792605547637375,8.980029853819229,0.0,0.0,0.0,0.0,False
2025-03-29,9.792605547637375,8.691000617665226,0.0,0.0,0.0,0.0,False
2025-03-30,9.792605547637375,8.50818715256331,0.0,0.0,0.0,0.0,False
2025-03-31,9.792605547637375,8.481572987440806,0.0,0.0,0.0,0.0,False
2025-04-01,9.792605547637375,8.498044060119415,0.0,0.0,0.0,0.0,False
2025-04-02,9.792605547637375,8.766558575252214,0.0,0.0,0.0,0.0,False
2025-04-03,9.792605547637375,8.494572781552398,0.0,0.0,0.0,0.0,False
2025-04-04,9.792605547637375,8.56630533250978,0.0,0.0,0.0,0.0,False
2025-04-05,9.792605547637375,8.635975911056207,0.0,0.0,0.0,0.0,False
2025-04-06,9.792605547637375,8.599751904467778,0.0,0.0,0.0,0.0,False
2025-04-07,9.792605547637375,8.073913938645255,0.0,0.0,0.0,0.0,False
2025-04-08,9.792605547637375,8.149396746963147,0.0,0.0,0.0,0.0,False
2025-04-09,9.792605547637375,7.856950792670372,0.0,0.0,0.0,0.0,False
2025-04-10,9.792605547637375,8.504758081120032,0.0,0.0,0.0,0.0,False
2025-04-11,9.792605547637375,8.195110150298538,0.0,0.0,0.0,0.0,False
2025-04-12,9.792605547637375,8.587999794111592,0.0,0.0,0.0,0.0,False
2025-04-13,9.792605547637375,8.778763640107062,0.0,0.0,0.0,0.0,False
2025-04-14,9.792605547637375,8.62260654725139,0.0,0.0,0.0,0.0,False
2025-04-15,9.792605547637375,8.708212888614371,0.0,0.0,0.0,0.0,False
2025-04-16,9.792605547637375,8.610663990117358,0.0,0.0,0.0,0.0,False
2025-04-17,9.792605547637375,8.650440601194154,0.0,0.0,0.0,0.0,False
2025-04-18,9.792605547637375,8.744896026353716,0.0,0.0,0.0,0.0,False
2025-04-19,9.792605547637375,8.696180770022647,0.0,0.0,0.0,0.0,False
2025-04-20,9.792605547637375,8.758184064237183,0.0,0.0,0.0,0.0,False
2025-04-21,9.792605547637375,8.768709079678814,0.0,0.0,0.0,0.0,False
2025-04-22,9.792605547637375,9.00928762610665,0.0,0.0,0.0,0.0,False
2025-04-23,9.792605547637375,9.619414247477868,0.0,0.0,0.0,0.0,False
2025-04-24,9.792605547637375,9.64495264566605,0.0,0.0,0.0,0.0,False
2025-04-25,9.792605547637375,9.674744698373482,0.0,0.0,0.0,0.0,False
2025-04-26,9.818329200496848,9.742503603047147,0.5,0.002626844585369618,0.003501844585369618,0.000725,True
2025-04-27,9.816293603068544,9.741404158945851,0.5021826887086689,-0.00020732625548955958,-5.667144887695894e-05,0.0,False
2025-04-28,9.76903454581924,9.650946057236977,0.5022301427546833,-0.0048143483844585765,-0.004663679341632172,0.0,False
2025-04-29,9.833312666950714,9.780850319127033,0.49997351007354573,0.006579782355154354,0.006729774408176418,0.0,False
2025-04-30,9.792526150223237,9.703193329215566,0.5033910807309864,-0.004147790079385797,-0.0039967727551665005,0.0,False
2025-05-01,9.786633890054285,9.694461601811819,0.5014743181778246,-0.0006017099243405117,-0.0004512676288871643,0.0,False
2025-05-02,9.905922629640173,9.93307597282273,0.5013247025978076,0.012188944730743124,0.012339342141522467,0.0,False
2025-05-03,9.925109863129636,9.973968499073502,0.5074784183460649,0.0019369456240301139,0.0020891891495339334,0.0,False
2025-05-04,9.869896425177979,9.86786287831995,0.5085825108267946,-0.0055630052173797325,-0.005410430464131694,0.0,False
2025-05-05,9.786143551853629,9.705333539221742,0.5059868880608713,-0.008485689182178093,-0.008333893115759832,0.0,False
2025-05-06,9.808430876965431,9.75228330245007,0.5019120647231373,0.0022774369692931695,0.0024280105887101106,0.0,False
2025-05-07,9.801274337620297,9.968501132386248,0.0,-0.0007296314196331482,0.0,0.0007296314196331482,True
2025-05-08,9.801274337620297,9.988727609635578,0.0,0.0,0.0,0.0,False
