policy,group,key,log_growth,annual_cost_fraction,annual_turnover,event_count
aggressive_2.5__defensive,asset,TRX,0.29655494236113294,0.01652819022265884,4.778218860137447,1722
aggressive_2.5__defensive,asset,XRP,-0.04942963081799528,0.0043769732111240255,1.9897441924661394,776
aggressive_2.5__defensive,asset,ETH,-0.00674968824097207,0.003912602685571512,1.7436842939394617,436
aggressive_2.5__defensive,asset,SOL,-0.021750299889922775,0.004621512318668591,2.1312048259319645,749
aggressive_2.5__defensive,asset,AVAX,0.0688019987645515,0.0028640659007713584,1.3321778194090406,567
aggressive_2.5__defensive,asset,DOT,-0.024814081567506148,0.0005471983795914315,0.2527707964250016,92
aggressive_2.5__defensive,cost,fee,,0.00910428725151702,0.0,0
aggressive_2.5__defensive,cost,slippage,,0.0202317494478156,0.0,0
aggressive_2.5__defensive,cost,funding,,0.02072059321725393,0.0,0
aggressive_2.5__growth,event,entry,-0.21017689282942864,0.03663355948413488,25.26452378216197,201
aggressive_2.5__growth,event,funding,-0.27629347856772196,0.048185379587802425,0.0,1273
aggressive_2.5__growth,event,mark,0.8973533530084359,0.0,0.0,5037
aggressive_2.5__growth,event,rotation,-0.17222529281821625,0.030019417914775883,20.703046837776466,170
aggressive_2.5__growth,event,resize,-0.025171803975888526,0.004389541720349548,3.027270151965207,231
aggressive_2.5__growth,event,stop,-0.024535167573772075,0.004276491776973388,2.9493046737747495,27
aggressive_2.5__growth,event,boundary_exit,-0.0022137984581963445,0.0003860309610402845,0.2662282489932996,4
aggressive_2.5__growth,event,partial_tp,-0.004222376418960195,0.0007361628974475056,0.5076985499637968,6
aggressive_2.5__growth,regime,up_normal_vol,0.4768241660750614,0.098062236892636,40.76986979883181,5316
aggressive_2.5__growth,regime,up_high_vol,-0.04826801559460414,0.0005823294939139348,0.32011857475811295,92
aggressive_2.5__growth,regime,down_high_vol,-0.07364492676302258,0.0011340710217598987,0.6621077190325049,78
aggressive_2.5__growth,regime,down_normal_vol,-0.1723966813511823,0.02484794693421402,10.965976152013058,1463
aggressive_2.5__growth,asset,LTC,0.06457405997228176,0.00435548558943836,2.4454868222639057,112
