policy,episode,asset,entry,exit,days,exit_reason,net_log_growth,raw_asset_return,matched_BTC_open_return,matched_asset_minus_BTC,preceding_30_day_return,following_entry_7_day_raw_return,following_exit_7_day_raw_return
aggressive_3__growth,2021/23,XRP,2021-04-11,2021-04-18,7,rotation,0.02952866320488127,0.1222388222861932,0.003974292414830272,0.11826452987136293,1.203899902502437,0.02610501767299489,-0.32780476400758507
aggressive_3__growth,2021/24,DOGE,2021-04-18,2021-05-12,24,rotation,0.07928248412759462,0.7470428627813994,-0.05560465194952502,0.8026475147309244,5.312502591031576,-0.10939859006104546,-0.3324620590440297
aggressive_3__growth,2021/25,ETH,2021-05-12,2021-05-15,3,rotation,-0.01747419975769028,-0.023587143521203058,-0.12044922518114509,0.09686208165994203,0.8494954276795301,-0.4156119862176707,-0.4368444817448749
aggressive_3__growth,2021/26,DOGE,2021-05-15,2021-05-17,2,rotation,-0.01866556796478383,-0.08249687444186449,-0.06856028870784459,-0.013936585734019902,4.184741848689646,-0.38919449901768166,-0.287749897802262
aggressive_3__growth,2021/27,ADA,2021-05-17,2021-05-19,2,rotation,-0.050992071853521594,-0.12894530910355617,-0.07704704370296234,-0.051898265400593835,0.47097821675010154,-0.3261455525606468,-0.11204831303653429
aggressive_3__growth,2021/28,DOGE,2021-05-19,2021-05-21,2,rotation,-0.035832363561003513,-0.1645226384159415,-0.05424508597243671,-0.11027755244350479,0.7271726237293326,-0.25833438432757394,-0.21697235011447402
aggressive_3__growth,2021/29,ADA,2021-05-21,2021-05-25,4,rotation,-0.04201611736740515,-0.13915120542161974,-0.042304343030381775,-0.09684686239123796,0.2275429049811637,-0.1593711809798911,0.12041040201329278
aggressive_3__growth,2021/30,ADA,2021-05-26,2021-05-30,4,rotation,-0.02187577192269967,-0.09597423510466985,-0.09705406849678222,0.0010798333921123726,0.4054240300307379,0.12940418679549115,0.1949412183826149
aggressive_3__growth,2021/31,ADA,2021-06-02,2021-06-03,1,rotation,0.0015557071736540854,0.009906692777329917,0.02381342340955217,-0.013906730632222253,0.2853654927493343,-0.062377606266559193,-0.1258127067411886
aggressive_3__growth,2021/32,ADA,2021-06-04,2021-06-05,1,rotation,-0.020284125871041395,-0.07445540262273764,-0.06160072240321368,-0.012854680219523962,0.28718249889884007,-0.2212528449116722,-0.13413348946135828
aggressive_3__growth,2021/33,SOL,2021-06-11,2021-06-12,1,rotation,-0.029978518083128944,-0.12070769754934174,0.017835024591149606,-0.13854272214049135,-0.01918140663648671,-0.10394003553089481,-0.026044117240043296
aggressive_3__growth,2021/34,BNB,2021-06-13,2021-06-14,1,rotation,0.018376757673164244,0.06439129422718803,0.0977445639636616,-0.03335326973647357,-0.41856554275624314,-0.013384543761638779,-0.2598343402312676
aggressive_3__growth,2021/35,SOL,2021-06-14,2021-06-23,9,rotation,-0.10908137879463642,-0.30367060160669546,-0.16686075238284626,-0.1368098492238492,-0.11140344466369467,-0.3131506212383437,0.31728308046147546
aggressive_3__growth,2021/36,BNB,2021-07-14,2021-07-21,7,rotation,-0.07743289490054373,-0.14418408958508644,-0.08979098735315827,-0.05439310223192817,-0.08024439918533599,-0.050877079422616434,0.18670347539991683
aggressive_3__growth,2021/37,BNB,2021-07-26,2021-07-27,1,rotation,0.0007611299193587044,0.004759386567953383,0.05257932077707217,-0.047819934209118786,-0.02287602877324868,0.09251057641459548,0.06391447368421055
aggressive_3__growth,2021/38,ETH,2021-07-28,2021-07-29,1,rotation,-0.0013036855677627996,0.0006218824337782536,0.014267824833405607,-0.013645942399627353,0.21776961588071964,0.18496001252462535,0.22864531270372446
aggressive_3__growth,2021/39,BTC,2021-07-29,2021-08-03,5,rotation,-0.024828086562489814,-0.021807080885676622,-0.021807080885676622,0.0,0.13710326757605285,0.021061945443191954,0.1644609554891503
aggressive_3__growth,2021/40,ETH,2021-08-03,2021-08-05,2,rotation,0.03487772460235696,0.045122213186442384,0.014721742688940997,0.030400470497501386,0.18641400472580583,0.20512328725085527,0.11796810482464992
aggressive_3__growth,2021/41,LINK,2021-08-05,2021-08-09,4,rotation,-0.026419913805724133,-0.048040350587067904,0.10248905110040307,-0.15052940168747098,0.244257353705436,0.03125516785182736,0.2135846434465387
aggressive_3__growth,2021/42,ETH,2021-08-09,2021-08-13,4,rotation,0.006600846077424312,0.011378426476838177,0.01383054804317263,-0.002452121566334453,0.4932973591075116,0.04472017105822346,0.07836552192796709
aggressive_3__growth,2021/43,XRP,2021-08-13,2021-08-18,5,rotation,0.0896924912429131,0.13652830969878904,0.006664180183540314,0.12986412951524873,0.6070292620865139,0.3072145740606562,0.06876138433515466
aggressive_3__growth,2021/44,SOL,2021-08-18,2021-08-21,3,rotation,0.09109291230140876,0.2268496140952676,0.1035109445039204,0.1233386695913472,1.3138571748376986,0.12221096125360553,0.22286614813685124
aggressive_3__growth,2021/45,AVAX,2021-08-21,2021-09-01,11,rotation,0.03009740043938719,0.00924696025339733,-0.04504194538513584,0.05428890563853317,2.180101670297749,0.2823132727086952,-0.0635282207036193
aggressive_3__growth,2021/46,SOL,2021-09-01,2021-09-22,21,rotation,0.07344956333626977,0.14805578645977646,-0.13517366656978247,0.28322945302955893,2.000489875898106,0.7642929712755151,0.08809332260659697
aggressive_3__growth,2021/47,AVAX,2021-09-22,2021-10-08,16,rotation,0.015861133206032444,0.042881355932203435,0.3203982217351611,-0.27751686580295765,0.3126202033153218,0.10949152542372875,-0.08402405330732976
aggressive_3__growth,2021/48,BTC,2021-10-08,2021-10-19,11,rotation,0.0926913727948627,0.15283715489125083,0.15283715489125083,0.0,0.05033998621446556,0.14664251628979108,-0.027042557446424254
aggressive_3__growth,2021/49,DOT,2021-10-19,2021-10-30,11,rotation,0.03340258483520692,0.07361516034985427,0.004001251499864411,0.06961390884998986,0.2752043596730245,0.09159378036929056,0.17718940936863548
aggressive_3__growth,2021/50,SOL,2021-10-30,2021-10-31,1,rotation,-0.015835885317842507,-0.023308045518067533,-0.0063371333752049175,-0.016970912142862615,0.47821482602118004,0.2898782192054301,0.27589554908273284
aggressive_3__growth,2021/51,DOT,2021-10-31,2021-11-01,1,rotation,-0.0010833631205393992,0.0011701380762931812,-0.009042795419726746,0.010212933496019927,0.620234604105572,0.22209220688041187,0.24731182795698925
aggressive_3__growth,2021/52,BNB,2021-11-01,2021-11-02,1,rotation,0.0356526854993897,0.05089592070148674,-0.00634080268764281,0.05723672338912955,0.3633548387096772,0.24571101791841388,0.15182296390350092
aggressive_3__growth,2021/53,SOL,2021-11-02,2021-11-03,1,rotation,0.048547099048036634,0.08287970182923843,0.03791508020210421,0.044964621627134216,0.2533424114879921,0.17228188906870678,0.05561342330510399
aggressive_3__growth,2021/54,DOT,2021-11-03,2021-11-05,2,rotation,0.018028559708401677,0.042005420054200604,-0.02887604461649107,0.07088146467069167,0.5613870665417058,-0.09523809523809512,-0.14731562325840608
aggressive_3__growth,2021/55,SOL,2021-11-05,2021-11-10,5,rotation,-0.0211421639417364,-0.032380798186675275,0.0904415521717481,-0.12282235035842337,0.45617184227846597,-0.07520440378855342,-0.08416297163891917
aggressive_3__growth,2021/56,AVAX,2021-11-10,2021-11-14,4,rotation,0.05349974594845559,0.10424448217317495,-0.03835323917919764,0.1425977213523726,0.5038759689922481,0.2182229767968309,0.31683066830668305
aggressive_3__growth,2021/57,LTC,2021-11-14,2021-11-15,1,rotation,0.0452410224792918,0.08381839348079168,0.01769338028993772,0.06612501319085395,0.4144144144144144,-0.14202561117578583,-0.25134264232008596
aggressive_3__growth,2021/58,AVAX,2021-11-15,2021-12-06,21,rotation,-0.005210420099385965,-0.09496855345911948,-0.24607767107947587,0.1511091176203564,0.7362050551797794,0.4134171907756814,-0.08443363446838092
aggressive_3__growth,2021/59,ETH,2021-12-09,2021-12-10,1,rotation,-0.0512606115896474,-0.07466232130018402,-0.058157733154300506,-0.016504588145883514,-0.06638136058049826,-0.1079129394105357,-0.056074083455929014
aggressive_3__growth,2021/60,BNB,2021-12-10,2021-12-12,2,rotation,-0.013134948208385741,-0.009821115398105928,0.03900399487545192,-0.04882511027355785,-0.07084927314460587,-0.07839354612416705,-0.061636556854410274
aggressive_3__growth,2021/61,AVAX,2021-12-19,2021-12-21,2,rotation,-0.009097111924373869,-0.02061944612199118,0.0017017380574606555,-0.022321184179451836,0.029545665706587343,-0.007678371150030228,-0.05690627202255105
aggressive_3__growth,2021/62,AVAX,2021-12-23,2021-12-24,1,rotation,0.013602854217126497,0.04088104216660948,0.046320946024515974,-0.005439903857906492,-0.040709893360317606,-0.12795680493657868,-0.09897076986414155
aggressive_3__growth,2021/63,AVAX,2021-12-25,2021-12-31,6,boundary_exit,-0.01999263874630265,-0.048020878642888176,,,-0.01962367762254702,-0.007133536320139244,-0.20734716256967933
aggressive_3__growth,2023/1,ETH,2023-01-18,2023-01-20,2,rotation,-0.02110207524950169,-0.009242699098086282,-0.0028723815544837716,-0.006370317543602511,0.3283297954782842,0.029625182043486076,0.029998259288629203
aggressive_3__growth,2023/2,ETH,2023-01-21,2023-01-25,4,rotation,-0.08895215468053257,-0.061837892591632304,-0.0015026912556251881,-0.060335201336007116,0.27458214866797026,-0.052112412799286134,0.05508460960044226
aggressive_3__growth,2023/3,BTC,2023-01-25,2023-01-29,4,rotation,0.012849517887967427,0.01720842314004023,0.01720842314004023,0.0,0.36114793669800416,0.04863568920737693,-0.0038438148852807386
aggressive_3__growth,2023/4,AVAX,2023-01-29,2023-02-01,3,rotation,-0.016594363220986744,-0.036027263875365034,0.004505807639848092,-0.040533071515213126,0.8911685994647633,-0.022395326192794607,0.015656565656565702
aggressive_3__growth,2023/5,BTC,2023-02-01,2023-02-04,3,rotation,0.0069782344586715875,0.013265655155235923,0.013265655155235923,0.0,0.37985721539800754,-0.0070109876139075045,-0.06697493587801251
aggressive_3__growth,2023/6,AVAX,2023-02-04,2023-02-07,3,rotation,-0.0500194342913751,-0.08290398126463716,-0.028567038951173407,-0.054336942313463754,0.8637961335676625,-0.15644028103044494,-0.07354443309499481
aggressive_3__growth,2023/7,LTC,2023-02-07,2023-02-09,2,rotation,0.02772273063483723,0.034195162635529686,0.008756939038384148,0.025438223597145537,0.27295481491239615,-0.0010425354462052505,-0.0065524193548387455
aggressive_3__growth,2023/8,AVAX,2023-02-09,2023-02-10,1,rotation,-0.0673598221817045,-0.10989557434112385,-0.05069365055515984,-0.059201923785964006,0.7229114971050454,-0.0755842864246643,0.08659217877094982
aggressive_3__growth,2023/9,LTC,2023-02-10,2023-02-15,5,rotation,0.032554904712146705,0.04084292852487503,0.018442661494286305,0.022400267030588727,0.21563342318059298,0.08755159678470559,-0.005635566687539062
aggressive_3__growth,2023/10,TRX,2023-02-15,2023-02-18,3,rotation,0.055024561950893794,0.053491159724303294,0.10668545358885484,-0.053194293864551545,0.06200420916302418,0.040455498951153857,-0.03498791068126872
aggressive_3__growth,2023/11,LTC,2023-02-18,2023-02-20,2,rotation,-0.024605688158564204,-0.026867758689572474,-0.012037085277577964,-0.01483067341199451,0.13249827625833133,-0.06961646024770274,-0.03448629785487034
aggressive_3__growth,2023/12,DOT,2023-02-20,2023-02-25,5,rotation,-0.07126777982026469,-0.11102150537634414,-0.044843734743543084,-0.06617777063280106,0.24594967252671496,-0.11572580645161301,-0.1053825219231932
aggressive_3__growth,2023/13,LINK,2023-02-25,2023-02-26,1,rotation,-0.013512666816775796,-0.012724350388427452,-0.0011633002703584916,-0.01156105011806896,0.19126257318720907,-0.08156978301634077,-0.057794057794057774
aggressive_3__growth,2023/14,TRX,2023-02-26,2023-03-03,5,rotation,0.02215399951824128,0.027413411938098653,0.013311269517257474,0.01410214242084118,0.09822006472491918,-0.008843036109064006,-0.17716253048343122
aggressive_3__growth,2023/15,LINK,2023-03-03,2023-03-04,1,rotation,-0.03861606020324719,-0.043573883161512006,-0.04734561471993559,0.0037717315584235855,0.08996239514029503,-0.14570446735395193,-0.11440068985340623
aggressive_3__growth,2023/16,TRX,2023-03-04,2023-03-08,4,rotation,-0.019452983396793695,-0.01251117068811447,-0.006968669171176556,-0.005542501516937914,0.12126085558057254,-0.12466487935656834,-0.017043740573152166
aggressive_3__growth,2023/17,ETH,2023-03-08,2023-03-10,2,rotation,-0.1001397889092002,-0.0797912865328596,-0.08272383433880404,0.00293254780594443,-0.06033437751293236,0.05634623387432369,0.24486544402081667
