ts,phase47_main_current,phase47_bnb_full_back,phase47_bnb_gap_filter,phase47_bnb_trend_filter
2019-05-18,1.8662391437360077,1.7636779850166848,1.7636779850166848,1.6978148102381685
2019-05-19,1.8662391437360077,1.7636779850166848,1.7636779850166848,1.6978148102381685
2019-05-20,1.8662391437360077,1.7636779850166848,1.7636779850166848,1.6978148102381685
2019-05-21,1.8662391437360077,1.7636779850166848,1.7636779850166848,1.6978148102381685
2019-05-22,1.8662391437360077,1.7636779850166848,1.7636779850166848,1.6978148102381685
2019-05-23,1.8662391437360077,1.7636779850166848,1.7636779850166848,1.6978148102381685
2019-05-24,1.8662391437360077,1.7636779850166848,1.7636779850166848,1.6978148102381685
2019-05-25,1.8662391437360077,1.7636779850166848,1.7636779850166848,1.6978148102381685
2019-05-26,1.8662391437360077,1.7636779850166848,1.7636779850166848,1.6978148102381685
2019-05-27,1.8662391437360077,1.7636779850166848,1.7636779850166848,1.6978148102381685
2019-05-28,1.8662391437360077,1.7636779850166848,1.7636779850166848,1.6978148102381685
2019-05-29,1.8662391437360077,1.7636779850166848,1.7636779850166848,1.6978148102381685
2019-05-30,1.8662391437360077,1.7636779850166848,1.7636779850166848,1.6978148102381685
2019-05-31,1.8662391437360077,1.7636779850166848,1.7636779850166848,1.6978148102381685
2019-06-01,1.8662391437360077,1.7636779850166848,1.7636779850166848,1.6978148102381685
2019-06-02,1.8662391437360077,1.7636779850166848,1.7636779850166848,1.6978148102381685
2019-06-03,1.8662391437360077,1.7636779850166848,1.7636779850166848,1.6978148102381685
2019-06-04,1.8662391437360077,1.7636779850166848,1.7636779850166848,1.6978148102381685
2019-06-05,1.8662391437360077,1.7636779850166848,1.7636779850166848,1.6978148102381685
2019-06-06,1.909895039907628,1.8049347249433403,1.8049347249433403,1.7375308494838233
2019-06-07,1.8890957975116502,1.785278527053623,1.785278527053623,1.7186086969289631
2019-06-08,1.8255589103443723,1.725233377154405,1.725233377154405,1.6608058861846315
