profile,decision_date,asset,history_days,max_gap_days,non_na_close_ratio,admission_train_delta_pct,admission_recent_delta_pct,admission_dd_worsen_pct,admission_trigger_days,admission_quality_score,admission_eligible,admission_failing,state,state_prev,fail_streaks,pass_streaks,suspended_now
phase68b_dynamic_repair_tight5,2026-03-14,WLD,979,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,359,0,True
phase68b_dynamic_repair_tight5,2026-03-14,XLM,2644,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,44,0,True
phase68b_dynamic_repair_tight5,2026-03-14,XPL,185,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,359,0,True
phase68b_dynamic_repair_tight5,2026-03-14,XRP,2644,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,7,0,True
phase68b_dynamic_repair_tight5,2026-03-14,ZK,650,1,100.0,0.0,0.0,0.0,0,1.95,False,True,SUSPENDED,SUSPENDED,359,0,True
phase68b_dynamic_repair_tight5,2026-03-14,LUNC,1297,1,100.0,-0.08425854816029954,-0.07251631617113397,0.0,3,1.9271278662862237,False,False,SUSPENDED,SUSPENDED,0,0,True
phase68b_dynamic_repair_tight5,2026-03-14,SUN,2015,4,100.0,0.0,0.0,0.0,0,1.8,False,True,SUSPENDED,SUSPENDED,43,0,True
phase68b_dynamic_repair_tight5,2026-03-14,MANA,2061,1,100.0,-6.760065161558181,0.0,2.1316282072803006e-14,3,-6.200081451947752,False,True,SUSPENDED,SUSPENDED,80,0,True
phase68b_dynamic_repair_tight5,2026-03-14,TRX,2644,1,100.0,-7.107134533579963,0.0,-4.583294614749899,4,-6.533918166974954,False,True,SUSPENDED,SUSPENDED,35,0,True
phase68b_dynamic_repair_tight5,2026-03-14,XTZ,2378,1,100.0,-9.046164314991167,0.0,-7.643897772742925,11,-8.25770539373896,False,True,SUSPENDED,SUSPENDED,122,0,True
phase68b_dynamic_repair_tight5,2026-03-14,POL,562,1,100.0,-8.876138404564138,0.0,2.1316282072803006e-14,2,-8.9451730057052,False,True,SUSPENDED,SUSPENDED,359,0,True
phase68b_dynamic_repair_tight5,2026-03-14,WLFI,209,1,100.0,-11.43088972270203,0.0,-9.865976000251841,16,-10.73861215337754,False,True,SUSPENDED,SUSPENDED,359,0,True
