decision_date,next_date_exclusive,asset,train_total_delta_pct,recent_total_delta_pct,train_dd_worsen_pct,train_triggers,score,passed_filters,selected_asset
2019-08-10,2019-08-17,DOT,0.0,0.0,0.0,0,0.0,False,
2019-08-10,2019-08-17,ETH,0.0,0.0,0.0,0,0.0,False,
2019-08-10,2019-08-17,LINK,0.0,0.0,0.0,0,0.0,False,
2019-08-10,2019-08-17,LTC,0.0,0.0,0.0,0,0.0,False,
2019-08-10,2019-08-17,SOL,0.0,0.0,0.0,0,0.0,False,
2019-08-10,2019-08-17,TRX,0.0,0.0,0.0,0,0.0,False,
2019-08-10,2019-08-17,XRP,0.0,0.0,0.0,0,0.0,False,
2019-08-10,2019-08-17,BNB,-16.094930873034514,0.0,0.0,3,-23.69239630955177,False,
2019-08-17,2019-08-24,ADA,0.0,0.0,0.0,0,0.0,False,
2019-08-17,2019-08-24,AVAX,0.0,0.0,0.0,0,0.0,False,
2019-08-17,2019-08-24,DOGE,0.0,0.0,0.0,0,0.0,False,
2019-08-17,2019-08-24,DOT,0.0,0.0,0.0,0,0.0,False,
2019-08-17,2019-08-24,ETH,0.0,0.0,0.0,0,0.0,False,
2019-08-17,2019-08-24,LINK,0.0,0.0,0.0,0,0.0,False,
2019-08-17,2019-08-24,LTC,0.0,0.0,0.0,0,0.0,False,
2019-08-17,2019-08-24,SOL,0.0,0.0,0.0,0,0.0,False,
2019-08-17,2019-08-24,TRX,0.0,0.0,0.0,0,0.0,False,
2019-08-17,2019-08-24,XRP,0.0,0.0,0.0,0,0.0,False,
2019-08-17,2019-08-24,BNB,-16.094930873034514,0.0,0.0,3,-23.69239630955177,False,
2019-08-24,2019-08-31,ADA,0.0,0.0,0.0,0,0.0,False,
2019-08-24,2019-08-31,AVAX,0.0,0.0,0.0,0,0.0,False,
2019-08-24,2019-08-31,DOGE,0.0,0.0,0.0,0,0.0,False,
2019-08-24,2019-08-31,DOT,0.0,0.0,0.0,0,0.0,False,
2019-08-24,2019-08-31,ETH,0.0,0.0,0.0,0,0.0,False,
2019-08-24,2019-08-31,LINK,0.0,0.0,0.0,0,0.0,False,
2019-08-24,2019-08-31,LTC,0.0,0.0,0.0,0,0.0,False,
2019-08-24,2019-08-31,SOL,0.0,0.0,0.0,0,0.0,False,
2019-08-24,2019-08-31,TRX,0.0,0.0,0.0,0,0.0,False,
2019-08-24,2019-08-31,XRP,0.0,0.0,0.0,0,0.0,False,
2019-08-24,2019-08-31,BNB,-16.094930873034514,0.0,0.0,3,-23.69239630955177,False,
2019-08-31,2019-09-07,ADA,0.0,0.0,0.0,0,0.0,False,
2019-08-31,2019-09-07,AVAX,0.0,0.0,0.0,0,0.0,False,
2019-08-31,2019-09-07,DOGE,0.0,0.0,0.0,0,0.0,False,
2019-08-31,2019-09-07,DOT,0.0,0.0,0.0,0,0.0,False,
2019-08-31,2019-09-07,ETH,0.0,0.0,0.0,0,0.0,False,
2019-08-31,2019-09-07,LINK,0.0,0.0,0.0,0,0.0,False,
2019-08-31,2019-09-07,LTC,0.0,0.0,0.0,0,0.0,False,
2019-08-31,2019-09-07,SOL,0.0,0.0,0.0,0,0.0,False,
2019-08-31,2019-09-07,TRX,0.0,0.0,0.0,0,0.0,False,
2019-08-31,2019-09-07,XRP,0.0,0.0,0.0,0,0.0,False,
2019-08-31,2019-09-07,BNB,-16.094930873034514,0.0,0.0,3,-23.69239630955177,False,
2019-09-07,2019-09-14,ADA,0.0,0.0,0.0,0,0.0,False,
2019-09-07,2019-09-14,AVAX,0.0,0.0,0.0,0,0.0,False,
2019-09-07,2019-09-14,DOGE,0.0,0.0,0.0,0,0.0,False,
2019-09-07,2019-09-14,DOT,0.0,0.0,0.0,0,0.0,False,
2019-09-07,2019-09-14,ETH,0.0,0.0,0.0,0,0.0,False,
2019-09-07,2019-09-14,LINK,0.0,0.0,0.0,0,0.0,False,
2019-09-07,2019-09-14,LTC,0.0,0.0,0.0,0,0.0,False,
2019-09-07,2019-09-14,SOL,0.0,0.0,0.0,0,0.0,False,
2019-09-07,2019-09-14,TRX,0.0,0.0,0.0,0,0.0,False,
2019-09-07,2019-09-14,XRP,0.0,0.0,0.0,0,0.0,False,
2019-09-07,2019-09-14,BNB,-16.094930873034514,0.0,0.0,3,-23.69239630955177,False,
2019-09-14,2019-09-21,ADA,0.0,0.0,0.0,0,0.0,False,
2019-09-14,2019-09-21,AVAX,0.0,0.0,0.0,0,0.0,False,
2019-09-14,2019-09-21,DOGE,0.0,0.0,0.0,0,0.0,False,
2019-09-14,2019-09-21,DOT,0.0,0.0,0.0,0,0.0,False,
2019-09-14,2019-09-21,ETH,0.0,0.0,0.0,0,0.0,False,
2019-09-14,2019-09-21,LINK,0.0,0.0,0.0,0,0.0,False,
2019-09-14,2019-09-21,LTC,0.0,0.0,0.0,0,0.0,False,
2019-09-14,2019-09-21,SOL,0.0,0.0,0.0,0,0.0,False,
2019-09-14,2019-09-21,TRX,0.0,0.0,0.0,0,0.0,False,
2019-09-14,2019-09-21,XRP,0.0,0.0,0.0,0,0.0,False,
2019-09-14,2019-09-21,BNB,-16.094930873034514,0.0,0.0,3,-23.69239630955177,False,
2019-09-21,2019-09-28,ADA,0.0,0.0,0.0,0,0.0,False,
2019-09-21,2019-09-28,AVAX,0.0,0.0,0.0,0,0.0,False,
2019-09-21,2019-09-28,DOGE,0.0,0.0,0.0,0,0.0,False,
2019-09-21,2019-09-28,DOT,0.0,0.0,0.0,0,0.0,False,
2019-09-21,2019-09-28,ETH,0.0,0.0,0.0,0,0.0,False,
2019-09-21,2019-09-28,LINK,0.0,0.0,0.0,0,0.0,False,
2019-09-21,2019-09-28,LTC,0.0,0.0,0.0,0,0.0,False,
2019-09-21,2019-09-28,SOL,0.0,0.0,0.0,0,0.0,False,
2019-09-21,2019-09-28,TRX,0.0,0.0,0.0,0,0.0,False,
